interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,ligand_subunit_index,ligand_subunit_gene,n_ligand_subunits,ligand_is_complex,receptor_subunit_index,receptor_subunit_gene,n_receptor_subunits,receptor_is_complex
TGFB2_ACVR1B_TGFBR2,TGFb,TGFB2,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB2 - (ACVR1B+TGFBR2),1,TGFB2,1,False,1,ACVR1B,2,True
TGFB2_ACVR1B_TGFBR2,TGFb,TGFB2,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB2 - (ACVR1B+TGFBR2),1,TGFB2,1,False,2,TGFBR2,2,True
TGFB2_ACVR1C_TGFBR2,TGFb,TGFB2,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB2 - (ACVR1C+TGFBR2),1,TGFB2,1,False,1,ACVR1C,2,True
TGFB2_ACVR1C_TGFBR2,TGFb,TGFB2,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB2 - (ACVR1C+TGFBR2),1,TGFB2,1,False,2,TGFBR2,2,True
TGFB3_ACVR1B_TGFBR2,TGFb,TGFB3,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB3 - (ACVR1B+TGFBR2),1,TGFB3,1,False,1,ACVR1B,2,True
TGFB3_ACVR1B_TGFBR2,TGFb,TGFB3,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB3 - (ACVR1B+TGFBR2),1,TGFB3,1,False,2,TGFBR2,2,True
TGFB3_ACVR1C_TGFBR2,TGFb,TGFB3,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB3 - (ACVR1C+TGFBR2),1,TGFB3,1,False,1,ACVR1C,2,True
TGFB3_ACVR1C_TGFBR2,TGFb,TGFB3,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB3 - (ACVR1C+TGFBR2),1,TGFB3,1,False,2,TGFBR2,2,True
TGFB1_ACVR1_TGFBR1,TGFb,TGFB1,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB1 - (ACVR1+TGFBR1),1,TGFB1,1,False,1,ACVR1,3,True
TGFB1_ACVR1_TGFBR1,TGFb,TGFB1,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB1 - (ACVR1+TGFBR1),1,TGFB1,1,False,2,TGFBR1,3,True
TGFB1_ACVR1_TGFBR1,TGFb,TGFB1,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB1 - (ACVR1+TGFBR1),1,TGFB1,1,False,3,TGFBR2,3,True
TGFB2_ACVR1_TGFBR1,TGFb,TGFB2,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB2 - (ACVR1+TGFBR1),1,TGFB2,1,False,1,ACVR1,3,True
TGFB2_ACVR1_TGFBR1,TGFb,TGFB2,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB2 - (ACVR1+TGFBR1),1,TGFB2,1,False,2,TGFBR1,3,True
TGFB2_ACVR1_TGFBR1,TGFb,TGFB2,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB2 - (ACVR1+TGFBR1),1,TGFB2,1,False,3,TGFBR2,3,True
TGFB3_ACVR1_TGFBR1,TGFb,TGFB3,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB3 - (ACVR1+TGFBR1),1,TGFB3,1,False,1,ACVR1,3,True
TGFB3_ACVR1_TGFBR1,TGFb,TGFB3,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB3 - (ACVR1+TGFBR1),1,TGFB3,1,False,2,TGFBR1,3,True
TGFB3_ACVR1_TGFBR1,TGFb,TGFB3,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB3 - (ACVR1+TGFBR1),1,TGFB3,1,False,3,TGFBR2,3,True
BMP2_BMPR1A_ACVR2A,BMP,BMP2,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1A+ACVR2A),1,BMP2,1,False,1,BMPR1A,2,True
BMP2_BMPR1A_ACVR2A,BMP,BMP2,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1A+ACVR2A),1,BMP2,1,False,2,ACVR2A,2,True
BMP2_BMPR1A_ACVR2B,BMP,BMP2,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1A+ACVR2B),1,BMP2,1,False,1,BMPR1A,2,True
BMP2_BMPR1A_ACVR2B,BMP,BMP2,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1A+ACVR2B),1,BMP2,1,False,2,ACVR2B,2,True
BMP2_BMPR1A_BMPR2,BMP,BMP2,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1A+BMPR2),1,BMP2,1,False,1,BMPR1A,2,True
BMP2_BMPR1A_BMPR2,BMP,BMP2,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1A+BMPR2),1,BMP2,1,False,2,BMPR2,2,True
BMP2_BMPR1B_ACVR2A,BMP,BMP2,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1B+ACVR2A),1,BMP2,1,False,1,BMPR1B,2,True
BMP2_BMPR1B_ACVR2A,BMP,BMP2,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1B+ACVR2A),1,BMP2,1,False,2,ACVR2A,2,True
BMP2_BMPR1B_ACVR2B,BMP,BMP2,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1B+ACVR2B),1,BMP2,1,False,1,BMPR1B,2,True
BMP2_BMPR1B_ACVR2B,BMP,BMP2,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1B+ACVR2B),1,BMP2,1,False,2,ACVR2B,2,True
BMP2_BMPR1B_BMPR2,BMP,BMP2,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1B+BMPR2),1,BMP2,1,False,1,BMPR1B,2,True
BMP2_BMPR1B_BMPR2,BMP,BMP2,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1B+BMPR2),1,BMP2,1,False,2,BMPR2,2,True
BMP4_BMPR1A_ACVR2A,BMP,BMP4,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1A+ACVR2A),1,BMP4,1,False,1,BMPR1A,2,True
BMP4_BMPR1A_ACVR2A,BMP,BMP4,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1A+ACVR2A),1,BMP4,1,False,2,ACVR2A,2,True
BMP4_BMPR1A_ACVR2B,BMP,BMP4,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1A+ACVR2B),1,BMP4,1,False,1,BMPR1A,2,True
BMP4_BMPR1A_ACVR2B,BMP,BMP4,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1A+ACVR2B),1,BMP4,1,False,2,ACVR2B,2,True
BMP4_BMPR1A_BMPR2,BMP,BMP4,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1A+BMPR2),1,BMP4,1,False,1,BMPR1A,2,True
BMP4_BMPR1A_BMPR2,BMP,BMP4,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1A+BMPR2),1,BMP4,1,False,2,BMPR2,2,True
BMP4_BMPR1B_ACVR2A,BMP,BMP4,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1B+ACVR2A),1,BMP4,1,False,1,BMPR1B,2,True
BMP4_BMPR1B_ACVR2A,BMP,BMP4,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1B+ACVR2A),1,BMP4,1,False,2,ACVR2A,2,True
BMP4_BMPR1B_ACVR2B,BMP,BMP4,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1B+ACVR2B),1,BMP4,1,False,1,BMPR1B,2,True
BMP4_BMPR1B_ACVR2B,BMP,BMP4,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1B+ACVR2B),1,BMP4,1,False,2,ACVR2B,2,True
BMP4_BMPR1B_BMPR2,BMP,BMP4,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1B+BMPR2),1,BMP4,1,False,1,BMPR1B,2,True
BMP4_BMPR1B_BMPR2,BMP,BMP4,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4 - (BMPR1B+BMPR2),1,BMP4,1,False,2,BMPR2,2,True
GDF5_BMPR1A_ACVR2A,BMP,GDF5,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1A+ACVR2A),1,GDF5,1,False,1,BMPR1A,2,True
GDF5_BMPR1A_ACVR2A,BMP,GDF5,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1A+ACVR2A),1,GDF5,1,False,2,ACVR2A,2,True
GDF5_BMPR1A_ACVR2B,BMP,GDF5,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1A+ACVR2B),1,GDF5,1,False,1,BMPR1A,2,True
GDF5_BMPR1A_ACVR2B,BMP,GDF5,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1A+ACVR2B),1,GDF5,1,False,2,ACVR2B,2,True
GDF5_BMPR1A_BMPR2,BMP,GDF5,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1A+BMPR2),1,GDF5,1,False,1,BMPR1A,2,True
GDF5_BMPR1A_BMPR2,BMP,GDF5,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1A+BMPR2),1,GDF5,1,False,2,BMPR2,2,True
GDF5_BMPR1B_ACVR2A,BMP,GDF5,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1B+ACVR2A),1,GDF5,1,False,1,BMPR1B,2,True
GDF5_BMPR1B_ACVR2A,BMP,GDF5,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1B+ACVR2A),1,GDF5,1,False,2,ACVR2A,2,True
GDF5_BMPR1B_ACVR2B,BMP,GDF5,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1B+ACVR2B),1,GDF5,1,False,1,BMPR1B,2,True
GDF5_BMPR1B_ACVR2B,BMP,GDF5,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1B+ACVR2B),1,GDF5,1,False,2,ACVR2B,2,True
GDF5_BMPR1B_BMPR2,BMP,GDF5,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1B+BMPR2),1,GDF5,1,False,1,BMPR1B,2,True
GDF5_BMPR1B_BMPR2,BMP,GDF5,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5 - (BMPR1B+BMPR2),1,GDF5,1,False,2,BMPR2,2,True
GDF6_BMPR1A_ACVR2A,BMP,GDF6,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1A+ACVR2A),1,GDF6,1,False,1,BMPR1A,2,True
GDF6_BMPR1A_ACVR2A,BMP,GDF6,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1A+ACVR2A),1,GDF6,1,False,2,ACVR2A,2,True
GDF6_BMPR1A_ACVR2B,BMP,GDF6,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1A+ACVR2B),1,GDF6,1,False,1,BMPR1A,2,True
GDF6_BMPR1A_ACVR2B,BMP,GDF6,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1A+ACVR2B),1,GDF6,1,False,2,ACVR2B,2,True
GDF6_BMPR1A_BMPR2,BMP,GDF6,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1A+BMPR2),1,GDF6,1,False,1,BMPR1A,2,True
GDF6_BMPR1A_BMPR2,BMP,GDF6,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1A+BMPR2),1,GDF6,1,False,2,BMPR2,2,True
GDF6_BMPR1B_ACVR2A,BMP,GDF6,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1B+ACVR2A),1,GDF6,1,False,1,BMPR1B,2,True
GDF6_BMPR1B_ACVR2A,BMP,GDF6,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1B+ACVR2A),1,GDF6,1,False,2,ACVR2A,2,True
GDF6_BMPR1B_ACVR2B,BMP,GDF6,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1B+ACVR2B),1,GDF6,1,False,1,BMPR1B,2,True
GDF6_BMPR1B_ACVR2B,BMP,GDF6,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1B+ACVR2B),1,GDF6,1,False,2,ACVR2B,2,True
GDF6_BMPR1B_BMPR2,BMP,GDF6,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1B+BMPR2),1,GDF6,1,False,1,BMPR1B,2,True
GDF6_BMPR1B_BMPR2,BMP,GDF6,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1B+BMPR2),1,GDF6,1,False,2,BMPR2,2,True
GDF7_BMPR1A_ACVR2A,BMP,GDF7,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1A+ACVR2A),1,GDF7,1,False,1,BMPR1A,2,True
GDF7_BMPR1A_ACVR2A,BMP,GDF7,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1A+ACVR2A),1,GDF7,1,False,2,ACVR2A,2,True
GDF7_BMPR1A_ACVR2B,BMP,GDF7,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1A+ACVR2B),1,GDF7,1,False,1,BMPR1A,2,True
GDF7_BMPR1A_ACVR2B,BMP,GDF7,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1A+ACVR2B),1,GDF7,1,False,2,ACVR2B,2,True
GDF7_BMPR1A_BMPR2,BMP,GDF7,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1A+BMPR2),1,GDF7,1,False,1,BMPR1A,2,True
GDF7_BMPR1A_BMPR2,BMP,GDF7,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1A+BMPR2),1,GDF7,1,False,2,BMPR2,2,True
GDF7_BMPR1B_ACVR2A,BMP,GDF7,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1B+ACVR2A),1,GDF7,1,False,1,BMPR1B,2,True
GDF7_BMPR1B_ACVR2A,BMP,GDF7,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1B+ACVR2A),1,GDF7,1,False,2,ACVR2A,2,True
GDF7_BMPR1B_ACVR2B,BMP,GDF7,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1B+ACVR2B),1,GDF7,1,False,1,BMPR1B,2,True
GDF7_BMPR1B_ACVR2B,BMP,GDF7,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1B+ACVR2B),1,GDF7,1,False,2,ACVR2B,2,True
GDF7_BMPR1B_BMPR2,BMP,GDF7,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1B+BMPR2),1,GDF7,1,False,1,BMPR1B,2,True
GDF7_BMPR1B_BMPR2,BMP,GDF7,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1B+BMPR2),1,GDF7,1,False,2,BMPR2,2,True
BMP15_BMPR1B_BMPR2,BMP,BMP15,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP15 - (BMPR1B+BMPR2),1,BMP15,1,False,1,BMPR1B,2,True
BMP15_BMPR1B_BMPR2,BMP,BMP15,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP15 - (BMPR1B+BMPR2),1,BMP15,1,False,2,BMPR2,2,True
BMP5_ACVR1_ACVR2A,BMP,BMP5,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (ACVR1+ACVR2A),1,BMP5,1,False,1,ACVR1,2,True
BMP5_ACVR1_ACVR2A,BMP,BMP5,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (ACVR1+ACVR2A),1,BMP5,1,False,2,ACVR2A,2,True
BMP5_ACVR1_ACVR2B,BMP,BMP5,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (ACVR1+ACVR2B),1,BMP5,1,False,1,ACVR1,2,True
BMP5_ACVR1_ACVR2B,BMP,BMP5,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (ACVR1+ACVR2B),1,BMP5,1,False,2,ACVR2B,2,True
BMP5_ACVR1_BMPR2,BMP,BMP5,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (ACVR1+BMPR2),1,BMP5,1,False,1,ACVR1,2,True
BMP5_ACVR1_BMPR2,BMP,BMP5,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (ACVR1+BMPR2),1,BMP5,1,False,2,BMPR2,2,True
BMP5_BMPR1A_ACVR2A,BMP,BMP5,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1A+ACVR2A),1,BMP5,1,False,1,BMPR1A,2,True
BMP5_BMPR1A_ACVR2A,BMP,BMP5,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1A+ACVR2A),1,BMP5,1,False,2,ACVR2A,2,True
BMP5_BMPR1A_ACVR2B,BMP,BMP5,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1A+ACVR2B),1,BMP5,1,False,1,BMPR1A,2,True
BMP5_BMPR1A_ACVR2B,BMP,BMP5,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1A+ACVR2B),1,BMP5,1,False,2,ACVR2B,2,True
BMP5_BMPR1A_BMPR2,BMP,BMP5,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1A+BMPR2),1,BMP5,1,False,1,BMPR1A,2,True
BMP5_BMPR1A_BMPR2,BMP,BMP5,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1A+BMPR2),1,BMP5,1,False,2,BMPR2,2,True
BMP5_BMPR1B_ACVR2A,BMP,BMP5,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1B+ACVR2A),1,BMP5,1,False,1,BMPR1B,2,True
