n_multisubunit_complexes,n_ligandcomplex_pairs_with_multiple_subunit_axes,ligand,complex,n_subunits,subunits,is_multisubunit,ligand_passes_corrected,n_types_enriched_min_rule,types_enriched_min_rule,n_types_enriched_anysubunit,complex_survives_min_rule,complex_survives_anysubunit,n_subunit_axes_surviving_published,n_types_enriched_geomean,complex_survives_geomean,inflated_vs_complex_min_rule
102,98,FGF1,FGFR2,1.0,FGFR2,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,FGF1,FGFR3,1.0,FGFR3,0.0,0.0,2.0,ESCA;LUSC,2.0,False,False,0.0,2.0,False,False
102,98,FGF1,FGFR4,1.0,FGFR4,0.0,0.0,3.0,COAD;LIHC;STAD,3.0,False,False,0.0,5.0,False,False
102,98,GAS6,AXL,1.0,AXL,0.0,0.0,3.0,HNSC;KIRC;KIRP,3.0,False,False,0.0,4.0,False,False
102,98,GAS6,MERTK,1.0,MERTK,0.0,0.0,2.0,KICH;LUSC,2.0,False,False,0.0,3.0,False,False
102,98,GAS6,TYRO3,1.0,TYRO3,0.0,0.0,2.0,BLCA;LUSC,2.0,False,False,0.0,2.0,False,False
102,98,GDF10,ACVR1B_ACVR2A,2.0,ACVR1B;ACVR2A,1.0,0.0,0.0,,3.0,False,False,0.0,2.0,False,False
102,98,GDF15,TGFBR2,1.0,TGFBR2,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,GDF6,BMPR1A_ACVR2A,2.0,ACVR2A;BMPR1A,1.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,GDF6,BMPR1A_ACVR2B,2.0,ACVR2B;BMPR1A,1.0,0.0,0.0,,0.0,False,False,0.0,1.0,False,False
102,98,GDF6,BMPR1A_BMPR2,2.0,BMPR1A;BMPR2,1.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,GDF6,BMPR1B_ACVR2A,2.0,ACVR2A;BMPR1B,1.0,0.0,0.0,,2.0,False,False,0.0,2.0,False,False
102,98,GDF6,BMPR1B_ACVR2B,2.0,ACVR2B;BMPR1B,1.0,0.0,0.0,,2.0,False,False,0.0,2.0,False,False
102,98,GDF6,BMPR1B_BMPR2,2.0,BMPR1B;BMPR2,1.0,0.0,0.0,,2.0,False,False,0.0,3.0,False,False
102,98,GDF9,ACVR1B_BMPR2,2.0,ACVR1B;BMPR2,1.0,0.0,0.0,,3.0,False,False,0.0,0.0,False,False
102,98,GRN,SORT1,1.0,SORT1,0.0,0.0,1.0,LIHC,1.0,False,False,0.0,2.0,False,False
102,98,GZMA,F2R,1.0,F2R,0.0,0.0,8.0,BRCA;COAD;ESCA;HNSC;KIRC;PRAD;STAD;THCA,8.0,False,False,0.0,8.0,False,False
102,98,GZMA,F2RL1,1.0,F2RL1,0.0,0.0,4.0,HNSC;LUAD;LUSC;UCEC,4.0,False,False,0.0,4.0,False,False
