gene_symbol,log2FC,t,p_value,fdr,mean_expr,n_case,n_ctrl,log2FC_icm,fdr_icm,log2FC_nicm,fdr_nicm,gse,platform,technology,log_scale_branch,probe_collapse_method
TBC1D1,-0.058654731511619464,-1.0596722787722668,0.29048961083311214,0.5606066186522479,7.703961881038095,194,16,-0.049799770662010454,0.6716306635411559,-0.06977491490406966,0.4523912907495904,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ZNF510,0.04614781936471724,1.0595341731900123,0.29055232127210695,0.5606066186522479,6.164452102657143,194,16,0.05995204553237863,0.484729733491051,0.02881227952614864,0.7292032576835827,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
NEO1,0.053238787438119814,1.0594908843357094,0.2905719795925905,0.5606066186522479,5.937170548871428,194,16,0.03937350704627746,0.7217228790453066,0.07065100002326671,0.4044857552640029,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
AAMP,-0.05205030275581534,-1.0588034882411363,0.29088426045133525,0.561122515686251,7.3973514119095265,194,16,-0.06509673006252532,0.5053321119557288,-0.0356664173008842,0.7257895393207016,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
VKORC1,0.0757608005283691,1.0574108420941377,0.2915176297052344,0.562257544982234,8.284222647309521,194,16,0.08420612835185234,0.6069457357622717,0.06515504000579425,0.5304641321203116,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
MGP,0.15115239180546758,1.0572434825335213,0.29159380687313213,0.5623177191929505,10.429929300971423,194,16,0.0952088479490987,0.7869507034160814,0.2214070747877578,0.18889666499230587,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ZHX3,-0.03723500092205428,-1.0571434346593322,0.29163935216806336,0.5623188125856151,6.041302561466667,194,16,-0.026380100215276096,0.7425681995236645,-0.050866736693291954,0.3899265813637012,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
DOK5,0.09957001163142813,1.0569213905550605,0.2917404516186251,0.5624270048012415,6.969635205280952,194,16,0.05120073469446434,0.8115582705101799,0.16031282452907875,0.3308878336997686,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
BTG1,-0.17720269597364507,-1.0566502814736363,0.29186392312143444,0.5625565322343696,8.258185783252381,194,16,-0.2198475231874963,0.520039767634503,-0.12364872691423281,0.6671012690098609,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HIST1H3F,-0.030688436706193145,-1.0565762744865306,0.29189763434685295,0.5625565322343696,3.7445179843999994,194,16,-0.023696261740733564,0.7214874527353267,-0.03946930759303188,0.3978221551695419,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
BNIP2,0.07230721892976773,1.0558183588417105,0.2922430272620778,0.5631353771317041,5.7185329018,194,16,0.07881147243747888,0.5637105758862981,0.06413908661775032,0.5951510785359844,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
