gene,protein_class,secretome_location,secretome_function,is_secreted,is_plasma,is_membrane,is_intracellular,is_secreted_to_blood,secretion_tier,is_structural_ecm
HSBP1,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSBP1L1,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSCB,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSD11B1,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSD11B1L,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Secreted in brain,Enzyme,True,False,True,True,False,extended,False
HSD11B2,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins",,,False,False,True,False,False,none,False
HSD17B1,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSD17B10,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSD17B11,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSD17B12,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HSD17B13,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSD17B14,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSD17B2,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,True,True,True,False,none,False
HSD17B3,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HSD17B4,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSD17B6,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSD17B7,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HSD17B8,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSD3B1,"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HSD3B2,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HSD3B7,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HSDL1,"Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HSDL2,"Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSF1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",,,False,True,False,True,False,none,False
HSF2,"Plasma proteins, Predicted intracellular proteins, Transcription factors",,,False,True,False,True,False,none,False
HSF2BP,"Disease related genes, Human disease related genes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSF4,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",,,False,True,False,True,False,none,False
HSF5,"Predicted intracellular proteins, Transcription factors",,,False,False,False,True,False,none,False
HSFX1,"Predicted intracellular proteins, Transcription factors",,,False,False,False,True,False,none,False
HSFX2,"Predicted intracellular proteins, Transcription factors",,,False,False,False,True,False,none,False
HSFX3,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSFX4,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSFY1,"Predicted intracellular proteins, Transcription factors",,,False,False,False,True,False,none,False
HSFY2,"Predicted intracellular proteins, Transcription factors",,,False,False,False,True,False,none,False
HSH2D,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSP90AA1,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSP90AB1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters",Intracellular and membrane,Other,False,True,False,True,False,none,False
HSP90B1,"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins",Intracellular and membrane,Enzyme,False,True,False,True,False,none,False
HSPA12A,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSPA12B,"Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPA13,Predicted intracellular proteins,Intracellular and membrane,No annotated function,False,False,False,True,False,none,False
HSPA14,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSPA1A,"Disease related genes, Predicted intracellular proteins",Intracellular and membrane,Receptor,False,False,False,True,False,none,False
HSPA1B,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSPA1L,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPA2,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPA4,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPA4L,"Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPA5,"Disease related genes, Enzymes, Essential proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Intracellular and membrane,Enzyme,False,True,False,True,False,none,False
HSPA6,"Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPA8,"Cancer-related genes, Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPA9,"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPB1,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPB11,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSPB2,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSPB3,"Disease related genes, Human disease related genes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSPB6,Predicted intracellular proteins,Intracellular and membrane,Other,False,False,False,True,False,none,False
HSPB7,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSPB8,"Disease related genes, Human disease related genes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSPB9,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSPBAP1,"Disease related genes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HSPBP1,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSPD1,"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPE1,"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
HSPE1-MOB4,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HSPG2,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,Developmental protein,True,True,False,True,False,core,True
HSPH1,"Cancer-related genes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HTATIP2,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HTATSF1,"Essential proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HTD2,"Enzymes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HTN1,"Predicted secreted proteins, Transporters",Secreted to digestive system,Defense,True,False,False,False,False,extended,False
HTN3,"Predicted secreted proteins, Transporters",Secreted to digestive system,Immunity,True,False,False,False,False,extended,False
HTR1A,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,False,False,True,True,False,none,False
HTR1B,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters",,,False,False,True,False,False,none,False
HTR1D,"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins",,,False,False,True,False,False,none,False
HTR1E,"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",,,False,True,True,False,False,none,False
HTR1F,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",,,False,False,True,False,False,none,False
HTR2A,"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters",,,False,False,True,False,False,none,False
HTR2B,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters",,,False,False,True,False,False,none,False
HTR2C,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",,,False,False,True,False,False,none,False
HTR3A,"FDA approved drug targets, Predicted membrane proteins, Transporters",,,False,False,True,False,False,none,False
HTR3B,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,False,False,True,True,False,none,False
HTR3C,"FDA approved drug targets, Predicted membrane proteins",,,False,False,True,False,False,none,False
HTR3D,"FDA approved drug targets, Predicted membrane proteins, Transporters",,,False,False,True,False,False,none,False
HTR3E,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HTR4,"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,False,False,True,True,False,none,False
HTR5A,"G-protein coupled receptors, Predicted membrane proteins",,,False,False,True,False,False,none,False
HTR6,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",,,False,False,True,False,False,none,False
HTR7,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, RAS pathway related proteins",,,False,False,True,False,False,none,False
HTRA1,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Secreted to blood,Enzyme,True,True,False,True,True,core,False
HTRA2,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins",,,False,True,True,False,False,none,False
HTRA3,"Enzymes, Predicted secreted proteins",Secreted in other tissues,Enzyme,True,False,False,False,False,extended,False
HTRA4,"Enzymes, Predicted secreted proteins",Secreted in female reproductive system,Enzyme,True,False,False,False,False,extended,False
HTT,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,True,True,True,False,none,False
HUNK,"Enzymes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HUS1,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HUS1B,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HUWE1,"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HVCN1,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,False,False,True,True,False,none,False
HYAL1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Secreted to blood,Enzyme,True,True,False,True,True,core,False
HYAL2,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HYAL3,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to blood,Enzyme,True,False,False,True,True,extended,False
HYAL4,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
HYCC1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HYCC2,Predicted intracellular proteins,,,False,False,False,True,False,none,False
HYDIN,"Disease related genes, Human disease related genes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HYI,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HYKK,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HYLS1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
HYOU1,"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Intracellular and membrane,Other,False,True,False,True,False,none,False
HYPK,"Essential proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
IAH1,Predicted intracellular proteins,,,False,False,False,True,False,none,False
IAPP,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to blood,Hormone,True,False,False,True,True,extended,False
IARS1,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",,,False,True,False,True,False,none,False
IARS2,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins",,,False,False,False,True,False,none,False
IBA57,"Disease related genes, Human disease related genes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
IBSP,"Cancer-related genes, Predicted secreted proteins",Secreted in other tissues,Cell adhesion,True,False,False,False,False,extended,False
IBTK,Predicted intracellular proteins,,,False,False,False,True,False,none,False
ICA1,"Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
ICA1L,Predicted intracellular proteins,,,False,False,False,True,False,none,False
ICAM1,"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,False,True,True,True,False,none,False
ICAM2,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,True,True,True,False,none,False
ICAM3,"CD markers, Plasma proteins, Predicted membrane proteins",,,False,True,True,False,False,none,False
ICAM4,"Blood group antigen proteins, CD markers, Predicted intracellular proteins, Predicted membrane proteins",Intracellular and membrane,Cell adhesion,False,False,True,True,False,none,False
ICAM5,"Plasma proteins, Predicted membrane proteins",,,False,True,True,False,False,none,False
ICE1,"Essential proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
ICE2,Predicted intracellular proteins,,,False,False,False,True,False,none,False
ICMT,"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins",,,False,True,True,False,False,none,False
ICOS,"CD markers, Disease related genes, Human disease related genes, Predicted membrane proteins",Intracellular and membrane,No annotated function,False,False,True,False,False,none,False
ICOSLG,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,True,True,True,False,none,False
ID1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",,,False,True,False,True,False,none,False
ID2,"Cancer-related genes, Predicted intracellular proteins, Transcription factors",,,False,False,False,True,False,none,False
ID3,"Cancer-related genes, Predicted intracellular proteins, Transcription factors",,,False,False,False,True,False,none,False
ID4,"Predicted intracellular proteins, Transcription factors",,,False,False,False,True,False,none,False
IDE,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted in other tissues,Receptor,True,True,False,True,False,core,False
IDH1,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
IDH2,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
IDH3A,"Citric acid cycle related proteins, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
