gene,gencodeId,tissue,median_tpm
AGT,ENSG00000135744.7,Brain_Spinal_cord_cervical_c-1,104.723
AGT,ENSG00000135744.7,Brain_Substantia_nigra,177.537
AGT,ENSG00000135744.7,Breast_Mammary_Tissue,4.61016
AGT,ENSG00000135744.7,Cells_Cultured_fibroblasts,0.869152
AGT,ENSG00000135744.7,Cells_EBV-transformed_lymphocytes,0.15193800000000002
AGT,ENSG00000135744.7,Cervix_Ectocervix,19.789
AGT,ENSG00000135744.7,Cervix_Endocervix,8.640080000000001
AGT,ENSG00000135744.7,Colon_Sigmoid,5.3543400000000005
AGT,ENSG00000135744.7,Colon_Transverse,6.59162
AGT,ENSG00000135744.7,Esophagus_Gastroesophageal_Junction,10.7216
AGT,ENSG00000135744.7,Esophagus_Mucosa,1.21984
AGT,ENSG00000135744.7,Esophagus_Muscularis,12.6952
AGT,ENSG00000135744.7,Fallopian_Tube,10.9731
AGT,ENSG00000135744.7,Heart_Atrial_Appendage,138.197
AGT,ENSG00000135744.7,Heart_Left_Ventricle,76.1076
AGT,ENSG00000135744.7,Kidney_Cortex,28.7566
AGT,ENSG00000135744.7,Kidney_Medulla,17.4583
AGT,ENSG00000135744.7,Liver,1007.43
AGT,ENSG00000135744.7,Lung,8.22461
AGT,ENSG00000135744.7,Minor_Salivary_Gland,5.54074
AGT,ENSG00000135744.7,Muscle_Skeletal,28.3251
AGT,ENSG00000135744.7,Nerve_Tibial,22.3813
AGT,ENSG00000135744.7,Ovary,4.60661
AGT,ENSG00000135744.7,Pancreas,4.10149
AGT,ENSG00000135744.7,Pituitary,27.320999999999998
AGT,ENSG00000135744.7,Prostate,19.0343
AGT,ENSG00000135744.7,Skin_Not_Sun_Exposed_Suprapubic,1.16362
AGT,ENSG00000135744.7,Skin_Sun_Exposed_Lower_leg,2.3187
AGT,ENSG00000135744.7,Small_Intestine_Terminal_Ileum,13.5974
AGT,ENSG00000135744.7,Spleen,0.398593
AGT,ENSG00000135744.7,Stomach,4.600619999999999
AGT,ENSG00000135744.7,Testis,10.2313
AGT,ENSG00000135744.7,Thyroid,25.1792
AGT,ENSG00000135744.7,Uterus,4.56268
AGT,ENSG00000135744.7,Vagina,5.61785
AGT,ENSG00000135744.7,Whole_Blood,0.19056800000000002
GDF6,ENSG00000156466.9,Adipose_Subcutaneous,0.8895780000000001
GDF6,ENSG00000156466.9,Adipose_Visceral_Omentum,2.17742
GDF6,ENSG00000156466.9,Adrenal_Gland,0.0729858
GDF6,ENSG00000156466.9,Artery_Aorta,1.9491599999999998
GDF6,ENSG00000156466.9,Artery_Coronary,2.1726799999999997
GDF6,ENSG00000156466.9,Artery_Tibial,0.98595
GDF6,ENSG00000156466.9,Bladder,1.35247
GDF6,ENSG00000156466.9,Brain_Amygdala,0.647361
GDF6,ENSG00000156466.9,Brain_Anterior_cingulate_cortex_BA24,0.522003
GDF6,ENSG00000156466.9,Brain_Caudate_basal_ganglia,0.21325300000000003
GDF6,ENSG00000156466.9,Brain_Cerebellar_Hemisphere,0.121099
GDF6,ENSG00000156466.9,Brain_Cerebellum,0.0926796
GDF6,ENSG00000156466.9,Brain_Cortex,0.302964
GDF6,ENSG00000156466.9,Brain_Frontal_Cortex_BA9,0.445917
GDF6,ENSG00000156466.9,Brain_Hippocampus,0.365352
GDF6,ENSG00000156466.9,Brain_Hypothalamus,0.539153
GDF6,ENSG00000156466.9,Brain_Nucleus_accumbens_basal_ganglia,0.263903
GDF6,ENSG00000156466.9,Brain_Putamen_basal_ganglia,0.138624
GDF6,ENSG00000156466.9,Brain_Spinal_cord_cervical_c-1,0.184549
GDF6,ENSG00000156466.9,Brain_Substantia_nigra,0.42602399999999996
GDF6,ENSG00000156466.9,Breast_Mammary_Tissue,0.5354300000000001
GDF6,ENSG00000156466.9,Cells_Cultured_fibroblasts,2.6811700000000003
GDF6,ENSG00000156466.9,Cells_EBV-transformed_lymphocytes,0.0
GDF6,ENSG00000156466.9,Cervix_Ectocervix,0.199371
GDF6,ENSG00000156466.9,Cervix_Endocervix,0.7036720000000001
GDF6,ENSG00000156466.9,Colon_Sigmoid,1.3486799999999999
GDF6,ENSG00000156466.9,Colon_Transverse,0.588105
GDF6,ENSG00000156466.9,Esophagus_Gastroesophageal_Junction,1.40911
GDF6,ENSG00000156466.9,Esophagus_Mucosa,0.232875
GDF6,ENSG00000156466.9,Esophagus_Muscularis,1.33197
GDF6,ENSG00000156466.9,Fallopian_Tube,1.26047
GDF6,ENSG00000156466.9,Heart_Atrial_Appendage,2.46325
GDF6,ENSG00000156466.9,Heart_Left_Ventricle,0.184529
GDF6,ENSG00000156466.9,Kidney_Cortex,0.099335
GDF6,ENSG00000156466.9,Kidney_Medulla,0.060561699999999996
GDF6,ENSG00000156466.9,Liver,0.15166500000000002
GDF6,ENSG00000156466.9,Lung,0.256339
GDF6,ENSG00000156466.9,Minor_Salivary_Gland,0.0412392
GDF6,ENSG00000156466.9,Muscle_Skeletal,0.029003700000000004
GDF6,ENSG00000156466.9,Nerve_Tibial,0.880396
GDF6,ENSG00000156466.9,Ovary,0.135897
GDF6,ENSG00000156466.9,Pancreas,0.381132
GDF6,ENSG00000156466.9,Pituitary,0.130025
GDF6,ENSG00000156466.9,Prostate,0.456733
GDF6,ENSG00000156466.9,Skin_Not_Sun_Exposed_Suprapubic,0.071768
GDF6,ENSG00000156466.9,Skin_Sun_Exposed_Lower_leg,0.0731188
GDF6,ENSG00000156466.9,Small_Intestine_Terminal_Ileum,1.2156200000000001
GDF6,ENSG00000156466.9,Spleen,0.07296010000000001
GDF6,ENSG00000156466.9,Stomach,0.624251
GDF6,ENSG00000156466.9,Testis,1.55905
GDF6,ENSG00000156466.9,Thyroid,1.48167
GDF6,ENSG00000156466.9,Uterus,2.57514
GDF6,ENSG00000156466.9,Vagina,1.52319
GDF6,ENSG00000156466.9,Whole_Blood,0.0
POSTN,ENSG00000133110.14,Adipose_Subcutaneous,69.3257
POSTN,ENSG00000133110.14,Adipose_Visceral_Omentum,50.0089
POSTN,ENSG00000133110.14,Adrenal_Gland,2.71624
POSTN,ENSG00000133110.14,Artery_Aorta,117.15899999999999
POSTN,ENSG00000133110.14,Artery_Coronary,102.34899999999999
POSTN,ENSG00000133110.14,Artery_Tibial,90.1738
POSTN,ENSG00000133110.14,Bladder,23.4872
POSTN,ENSG00000133110.14,Brain_Amygdala,0.151538
POSTN,ENSG00000133110.14,Brain_Anterior_cingulate_cortex_BA24,0.16328800000000002
POSTN,ENSG00000133110.14,Brain_Caudate_basal_ganglia,0.039767500000000004
POSTN,ENSG00000133110.14,Brain_Cerebellar_Hemisphere,0.0493795
POSTN,ENSG00000133110.14,Brain_Cerebellum,0.0880906
POSTN,ENSG00000133110.14,Brain_Cortex,0.47458900000000004
POSTN,ENSG00000133110.14,Brain_Frontal_Cortex_BA9,0.513305
POSTN,ENSG00000133110.14,Brain_Hippocampus,0.300077
POSTN,ENSG00000133110.14,Brain_Hypothalamus,0.116401
POSTN,ENSG00000133110.14,Brain_Nucleus_accumbens_basal_ganglia,0.0491635
POSTN,ENSG00000133110.14,Brain_Putamen_basal_ganglia,0.0356273
POSTN,ENSG00000133110.14,Brain_Spinal_cord_cervical_c-1,0.135407
POSTN,ENSG00000133110.14,Brain_Substantia_nigra,0.0540937
POSTN,ENSG00000133110.14,Breast_Mammary_Tissue,42.2055
POSTN,ENSG00000133110.14,Cells_Cultured_fibroblasts,58.3735
POSTN,ENSG00000133110.14,Cells_EBV-transformed_lymphocytes,0.0841056
POSTN,ENSG00000133110.14,Cervix_Ectocervix,18.0974
POSTN,ENSG00000133110.14,Cervix_Endocervix,16.4129
POSTN,ENSG00000133110.14,Colon_Sigmoid,26.691999999999997
POSTN,ENSG00000133110.14,Colon_Transverse,31.5427
POSTN,ENSG00000133110.14,Esophagus_Gastroesophageal_Junction,27.8792
POSTN,ENSG00000133110.14,Esophagus_Mucosa,5.50559
POSTN,ENSG00000133110.14,Esophagus_Muscularis,25.4947
POSTN,ENSG00000133110.14,Fallopian_Tube,40.2042
POSTN,ENSG00000133110.14,Heart_Atrial_Appendage,31.294
POSTN,ENSG00000133110.14,Heart_Left_Ventricle,3.7969199999999996
POSTN,ENSG00000133110.14,Kidney_Cortex,13.9899
POSTN,ENSG00000133110.14,Kidney_Medulla,2.01543
POSTN,ENSG00000133110.14,Liver,0.657032
POSTN,ENSG00000133110.14,Lung,28.0841
POSTN,ENSG00000133110.14,Minor_Salivary_Gland,10.1223
POSTN,ENSG00000133110.14,Muscle_Skeletal,4.26772
