axis,ligand,receptor_subunit,ligand_class,A1_pass,min_log2FC,A2_pass,min_ratio_GAPDH,A3_pass,best_heart_rank,top_tissue,ligand_passes_corrected,receptor_enriched_in_adjnormal,n_enriched_adjnormal,receptor_passes,survives_both_corrected,ligand_cardiac_enriched_original,survives_both_original,receptor_enriched_in_gtexrank,n_enriched_gtexrank,survives_both_sensitivity_gtexrank
PTN->NCL,PTN,NCL,cardiac-expressed-but-not-enriched,True,1.5022799106898648,True,0.023518792871517282,True,23.0,Pituitary,True,COAD;ESCA;LUAD;LUSC;STAD,5,True,True,False,False,,0,False
PTN->PTPRZ1,PTN,PTPRZ1,cardiac-expressed-but-not-enriched,True,1.5022799106898648,True,0.023518792871517282,True,23.0,Pituitary,True,HNSC;LUSC,2,True,True,False,False,HNSC;LUSC,2,True
PTN->SDC1,PTN,SDC1,cardiac-expressed-but-not-enriched,True,1.5022799106898648,True,0.023518792871517282,True,23.0,Pituitary,True,BRCA;ESCA;LUAD;LUSC;THCA;UCEC,6,True,True,False,False,ACC;BLCA;BRCA;CESC;OV;PAAD;READ;SARC;TGCT;THCA;UCEC;UCS;UVM,13,True
PTN->SDC2,PTN,SDC2,cardiac-expressed-but-not-enriched,True,1.5022799106898648,True,0.023518792871517282,True,23.0,Pituitary,True,KICH,1,True,True,False,False,ACC;PCPG;TGCT,3,True
PTN->SDC3,PTN,SDC3,cardiac-expressed-but-not-enriched,True,1.5022799106898648,True,0.023518792871517282,True,23.0,Pituitary,True,HNSC;KIRC;KIRP;THCA,4,True,True,False,False,CHOL;ESCA;KIRC;KIRP;LIHC;OV;PAAD;SARC;SKCM;TGCT;THCA,11,True
PTN->SDC4,PTN,SDC4,cardiac-expressed-but-not-enriched,True,1.5022799106898648,True,0.023518792871517282,True,23.0,Pituitary,True,COAD;KICH;THCA;UCEC,4,True,True,False,False,,0,False
SEMA3B->NRP1,SEMA3B,NRP1,not-cardiac (below tissue median),False,0.5357118993282295,True,0.00790272402544238,False,32.0,Nerve_Tibial,False,HNSC;KIRC;STAD,3,True,False,False,False,ACC;BLCA;CHOL;ESCA;GBM;HNSC;KIRC;LGG;LIHC;LUAD;PAAD;PCPG;PRAD;STAD;TGCT,15,False
SEMA3B->NRP2,SEMA3B,NRP2,not-cardiac (below tissue median),False,0.5357118993282295,True,0.00790272402544238,False,32.0,Nerve_Tibial,False,HNSC;KIRC;THCA,3,True,False,False,False,BRCA;CHOL;ESCA;GBM;HNSC;KICH;KIRC;LGG;LUAD;LUSC;MESO;PAAD;SARC;SKCM;STAD;TGCT;THCA;UVM,18,False
SEMA3B->PLXNA1,SEMA3B,PLXNA1,not-cardiac (below tissue median),False,0.5357118993282295,True,0.00790272402544238,False,32.0,Nerve_Tibial,False,BLCA;COAD;ESCA;HNSC;KICH;KIRC;KIRP;LIHC;LUSC;STAD;UCEC,11,True,False,False,False,ACC;BLCA;BRCA;CESC;CHOL;COAD;ESCA;HNSC;KIRP;LIHC;LUAD;LUSC;MESO;PAAD;PCPG;READ;SARC;SKCM;STAD;UCEC;UCS,21,False
SEMA3B->PLXNA2,SEMA3B,PLXNA2,not-cardiac (below tissue median),False,0.5357118993282295,True,0.00790272402544238,False,32.0,Nerve_Tibial,False,KIRC;LIHC,2,True,False,False,False,CESC;CHOL;COAD;HNSC;KICH;KIRC;LIHC;PCPG;READ;SARC;TGCT;THCA,12,False
SEMA3B->PLXNA3,SEMA3B,PLXNA3,not-cardiac (below tissue median),False,0.5357118993282295,True,0.00790272402544238,False,32.0,Nerve_Tibial,False,BLCA;BRCA;COAD;ESCA;HNSC;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD;THCA,13,True,False,False,False,BRCA;CHOL;ESCA;KICH;LUAD;PCPG;SARC,7,False
SEMA3B->PLXNA4,SEMA3B,PLXNA4,not-cardiac (below tissue median),False,0.5357118993282295,True,0.00790272402544238,False,32.0,Nerve_Tibial,False,,0,False,False,False,False,LGG;MESO;PCPG,3,False
TGFB2->ACVR1,TGFB2,ACVR1,not-cardiac (below tissue median),True,1.3374877124937117,False,0.0031346243510096236,False,38.0,Minor_Salivary_Gland,False,ESCA;HNSC;LUSC;THCA,4,True,False,False,False,ESCA;KICH;LUAD;LUSC;MESO;PCPG;TGCT;THCA,8,False
TGFB2->ACVR1B,TGFB2,ACVR1B,not-cardiac (below tissue median),True,1.3374877124937117,False,0.0031346243510096236,False,38.0,Minor_Salivary_Gland,False,LUAD;LUSC;UCEC,3,True,False,False,False,ACC;LUAD;LUSC;OV;PCPG;READ;UCEC;UCS,8,False
TGFB2->TGFBR1,TGFB2,TGFBR1,not-cardiac (below tissue median),True,1.3374877124937117,False,0.0031346243510096236,False,38.0,Minor_Salivary_Gland,False,HNSC;THCA,2,True,False,False,False,ACC;BRCA;CESC;CHOL;ESCA;GBM;HNSC;KICH;KIRC;KIRP;LGG;LUAD;LUSC;PAAD;PCPG;SARC;SKCM;STAD;TGCT;THCA;UVM,21,False
TGFB2->TGFBR2,TGFB2,TGFBR2,not-cardiac (below tissue median),True,1.3374877124937117,False,0.0031346243510096236,False,38.0,Minor_Salivary_Gland,False,,0,False,False,False,False,GBM;UVM,2,False
TGFB3->ACVR1,TGFB3,ACVR1,cardiac-expressed-but-not-enriched,False,0.3096105085659516,True,0.013545261102403894,True,17.0,Cervix_Endocervix,False,ESCA;HNSC;LUSC;THCA,4,True,False,False,False,ESCA;KICH;LUAD;LUSC;MESO;PCPG;TGCT;THCA,8,False
TGFB3->ACVR1B,TGFB3,ACVR1B,cardiac-expressed-but-not-enriched,False,0.3096105085659516,True,0.013545261102403894,True,17.0,Cervix_Endocervix,False,LUAD;LUSC;UCEC,3,True,False,False,False,ACC;LUAD;LUSC;OV;PCPG;READ;UCEC;UCS,8,False
TGFB3->TGFBR1,TGFB3,TGFBR1,cardiac-expressed-but-not-enriched,False,0.3096105085659516,True,0.013545261102403894,True,17.0,Cervix_Endocervix,False,HNSC;THCA,2,True,False,False,False,ACC;BRCA;CESC;CHOL;ESCA;GBM;HNSC;KICH;KIRC;KIRP;LGG;LUAD;LUSC;PAAD;PCPG;SARC;SKCM;STAD;TGCT;THCA;UVM,21,False
TGFB3->TGFBR2,TGFB3,TGFBR2,cardiac-expressed-but-not-enriched,False,0.3096105085659516,True,0.013545261102403894,True,17.0,Cervix_Endocervix,False,,0,False,False,False,False,GBM;UVM,2,False
TNF->TNFRSF1A,TNF,TNFRSF1A,not-cardiac (heart TPM < 1),False,0.2696841432371676,False,0.00036446075110567195,True,18.0,Spleen,False,KIRC;KIRP;THCA,3,True,False,False,False,GBM,1,False
TNF->TNFRSF1B,TNF,TNFRSF1B,not-cardiac (heart TPM < 1),False,0.2696841432371676,False,0.00036446075110567195,True,18.0,Spleen,False,HNSC;KIRC;THCA,3,True,False,False,False,GBM;PAAD;TGCT,3,False
TNFSF12->TNFRSF12A,TNFSF12,TNFRSF12A,not-cardiac (below tissue median),False,0.3870038228028157,True,0.008207919872091431,False,32.0,Artery_Aorta,False,BRCA;COAD;ESCA;HNSC;KIRC;KIRP;LUAD;STAD;THCA;UCEC,10,True,False,False,False,BLCA;CESC;CHOL;COAD;GBM;OV;READ,7,False
VEGFB->FLT1,VEGFB,FLT1,cardiac-expressed-but-not-enriched,False,0.2661853063669946,True,0.0469986613790652,True,13.0,Adipose_Subcutaneous,False,HNSC;KIRC;STAD,3,True,False,False,False,ACC;BLCA;CHOL;COAD;ESCA;HNSC;KICH;KIRC;LIHC;OV;PAAD;PCPG;READ;STAD,14,False
WNT10B->FZD1,WNT10B,FZD1,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,KIRC;KIRP,2,True,False,False,False,BRCA;CHOL;GBM;KIRC;KIRP;LUAD;LUSC;MESO;PAAD;SARC;STAD;UCS,12,False
WNT10B->FZD10,WNT10B,FZD10,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,UCEC,1,True,False,False,False,UCEC,1,False
WNT10B->FZD2,WNT10B,FZD2,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,UCEC,1,True,False,False,False,MESO;UCS,2,False
WNT10B->FZD3,WNT10B,FZD3,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,,0,False,False,False,False,,0,False
WNT10B->FZD4,WNT10B,FZD4,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,KIRC;PRAD,2,True,False,False,False,PRAD,1,False
WNT10B->FZD5,WNT10B,FZD5,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,BLCA;KIRC;UCEC,3,True,False,False,False,BLCA;ESCA;KIRC;KIRP;LUAD;PRAD;READ;TGCT;UCEC,9,False
WNT10B->FZD6,WNT10B,FZD6,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,COAD;ESCA;HNSC;KICH;LUSC,5,True,False,False,False,CESC;CHOL;KICH;LUAD;LUSC;OV;UCEC,7,False
WNT10B->FZD7,WNT10B,FZD7,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,LUSC,1,True,False,False,False,GBM;LGG;LUSC;MESO;PAAD;SARC;TGCT,7,False
WNT10B->FZD8,WNT10B,FZD8,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,UCEC,1,True,False,False,False,TGCT;UCEC;UCS,3,False
WNT10B->FZD9,WNT10B,FZD9,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,,0,False,False,False,False,UVM,1,False
WNT10B->LRP5,WNT10B,LRP5,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,,0,False,False,False,False,ESCA;GBM;KICH;LGG;LUAD;TGCT;UVM,7,False
WNT10B->LRP6,WNT10B,LRP6,not-cardiac (heart TPM < 1),False,0.2566163807138494,False,0.00019293274060025413,False,37.0,Brain_Nucleus_accumbens_basal_ganglia,False,STAD,1,True,False,False,False,ACC;BRCA;COAD;ESCA;KICH;KIRC;KIRP;LGG;LUAD;LUSC;PCPG;PRAD;SARC;SKCM;STAD;TGCT;UVM,17,False
WNT9A->FZD1,WNT9A,FZD1,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,KIRC;KIRP,2,True,False,False,False,BRCA;CHOL;GBM;KIRC;KIRP;LUAD;LUSC;MESO;PAAD;SARC;STAD;UCS,12,False
WNT9A->FZD10,WNT9A,FZD10,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,UCEC,1,True,False,False,False,UCEC,1,False
WNT9A->FZD2,WNT9A,FZD2,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,UCEC,1,True,False,False,False,MESO;UCS,2,False
WNT9A->FZD3,WNT9A,FZD3,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,,0,False,False,False,False,,0,False
WNT9A->FZD4,WNT9A,FZD4,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,KIRC;PRAD,2,True,False,False,False,PRAD,1,False
WNT9A->FZD5,WNT9A,FZD5,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,BLCA;KIRC;UCEC,3,True,False,False,False,BLCA;ESCA;KIRC;KIRP;LUAD;PRAD;READ;TGCT;UCEC,9,False
WNT9A->FZD6,WNT9A,FZD6,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,COAD;ESCA;HNSC;KICH;LUSC,5,True,False,False,False,CESC;CHOL;KICH;LUAD;LUSC;OV;UCEC,7,False
WNT9A->FZD7,WNT9A,FZD7,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,LUSC,1,True,False,False,False,GBM;LGG;LUSC;MESO;PAAD;SARC;TGCT,7,False
WNT9A->FZD8,WNT9A,FZD8,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,UCEC,1,True,False,False,False,TGCT;UCEC;UCS,3,False
WNT9A->FZD9,WNT9A,FZD9,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,,0,False,False,False,False,UVM,1,False
WNT9A->LRP5,WNT9A,LRP5,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,,0,False,False,False,False,ESCA;GBM;KICH;LGG;LUAD;TGCT;UVM,7,False
WNT9A->LRP6,WNT9A,LRP6,not-cardiac (below tissue median),True,1.9468904182115965,True,0.005008473516692253,False,29.0,Colon_Sigmoid,False,STAD,1,True,False,False,False,ACC;BRCA;COAD;ESCA;KICH;KIRC;KIRP;LGG;LUAD;LUSC;PCPG;PRAD;SARC;SKCM;STAD;TGCT;UVM,17,False
