axis,ligand,receptor_subunit,ligand_class,A1_pass,min_log2FC,A2_pass,min_ratio_GAPDH,A3_pass,best_heart_rank,top_tissue,ligand_passes_corrected,receptor_enriched_in_adjnormal,n_enriched_adjnormal,receptor_passes,survives_both_corrected,ligand_cardiac_enriched_original,survives_both_original,receptor_enriched_in_gtexrank,n_enriched_gtexrank,survives_both_sensitivity_gtexrank
CCL3->CCR5,CCL3,CCR5,cardiac-expressed-but-not-enriched,False,0.7729684101325457,False,0.00023797721786252834,True,22.0,Spleen,False,,0,False,False,False,False,TGCT,1,False
CCL4->CCR5,CCL4,CCR5,not-cardiac (below tissue median),False,0.7161548153214166,False,0.00047788582324378016,False,31.0,Spleen,False,,0,False,False,False,False,TGCT,1,False
CCL5->ACKR1,CCL5,ACKR1,not-cardiac (below tissue median),True,1.0092021625221508,False,0.0012505700961731871,False,31.0,Whole_Blood,False,,0,False,False,False,False,,0,False
CCL5->CCR1,CCL5,CCR1,not-cardiac (below tissue median),True,1.0092021625221508,False,0.0012505700961731871,False,31.0,Whole_Blood,False,,0,False,False,False,False,GBM,1,False
CCL5->CCR5,CCL5,CCR5,not-cardiac (below tissue median),True,1.0092021625221508,False,0.0012505700961731871,False,31.0,Whole_Blood,False,,0,False,False,False,False,TGCT,1,False
CTF1->IL6ST,CTF1,IL6ST,cardiac-expressed-but-not-enriched,False,0.9606201247005988,True,0.0063542510761713895,True,19.0,Uterus,False,,0,False,False,False,False,,0,False
CTF1->LIFR,CTF1,LIFR,cardiac-expressed-but-not-enriched,False,0.9606201247005988,True,0.0063542510761713895,True,19.0,Uterus,False,,0,False,False,False,False,GBM;KICH;KIRC;LGG;PRAD,5,False
CX3CL1->CX3CR1,CX3CL1,CX3CR1,not-cardiac (below tissue median),False,0.9000567935305978,True,0.008252377302448707,False,36.0,Lung,False,KIRC,1,True,False,False,False,GBM;KIRC;LGG,3,False
CXCL9->ACKR1,CXCL9,ACKR1,not-cardiac (heart TPM < 1),False,0.9135635157171048,False,0.0011385152058746093,True,24.0,Lung,False,,0,False,False,False,False,,0,False
FGF1->FGFR1,FGF1,FGFR1,cardiac-expressed-but-not-enriched,False,0.3445011271008495,True,0.03311762484838815,True,20.0,Brain_Spinal_cord_cervical_c-1,False,KICH,1,True,False,False,False,ACC;CHOL;PCPG,3,False
FGF1->FGFR2,FGF1,FGFR2,cardiac-expressed-but-not-enriched,False,0.3445011271008495,True,0.03311762484838815,True,20.0,Brain_Spinal_cord_cervical_c-1,False,,0,False,False,False,False,BRCA;CHOL;LUAD;LUSC;MESO;OV;SARC;STAD;TGCT,9,False
FGF1->FGFR3,FGF1,FGFR3,cardiac-expressed-but-not-enriched,False,0.3445011271008495,True,0.03311762484838815,True,20.0,Brain_Spinal_cord_cervical_c-1,False,ESCA;LUSC,2,True,False,False,False,BLCA;CESC;HNSC;LUSC;READ;UCS,6,False
FGF1->FGFR4,FGF1,FGFR4,cardiac-expressed-but-not-enriched,False,0.3445011271008495,True,0.03311762484838815,True,20.0,Brain_Spinal_cord_cervical_c-1,False,COAD;LIHC;STAD,3,True,False,False,False,READ;STAD;UCS,3,False
GAS6->AXL,GAS6,AXL,cardiac-expressed-but-not-enriched,False,0.2319042388372027,True,0.060447225861693696,True,24.0,Artery_Aorta,False,HNSC;KIRC;KIRP,3,True,False,False,False,KIRC;KIRP;PAAD,3,False
GAS6->MERTK,GAS6,MERTK,cardiac-expressed-but-not-enriched,False,0.2319042388372027,True,0.060447225861693696,True,24.0,Artery_Aorta,False,KICH;LUSC,2,True,False,False,False,KICH,1,False
GAS6->TYRO3,GAS6,TYRO3,cardiac-expressed-but-not-enriched,False,0.2319042388372027,True,0.060447225861693696,True,24.0,Artery_Aorta,False,BLCA;LUSC,2,True,False,False,False,ACC;BLCA;CESC;CHOL;HNSC;LUSC;MESO;SKCM;UCS,9,False
GDF10->ACVR1B,GDF10,ACVR1B,not-cardiac (below tissue median),False,0.9708145076712,False,0.0004366808732961454,False,27.0,Lung,False,LUAD;LUSC;UCEC,3,True,False,False,False,ACC;LUAD;LUSC;OV;PCPG;READ;UCEC;UCS,8,False
GDF10->ACVR2A,GDF10,ACVR2A,not-cardiac (below tissue median),False,0.9708145076712,False,0.0004366808732961454,False,27.0,Lung,False,,0,False,False,False,False,PCPG,1,False
GDF15->TGFBR2,GDF15,TGFBR2,not-cardiac (heart TPM < 1),False,0.6595890042055461,False,0.0001709672684916828,False,39.0,Kidney_Cortex,False,,0,False,False,False,False,GBM;UVM,2,False
GDF6->ACVR2A,GDF6,ACVR2A,cardiac-enriched but low-abundance (<5 TPM in heart),False,0.6002479962024183,False,0.0005773189769016835,True,2.0,Uterus,False,,0,False,False,False,False,PCPG,1,False
GDF6->ACVR2B,GDF6,ACVR2B,cardiac-enriched but low-abundance (<5 TPM in heart),False,0.6002479962024183,False,0.0005773189769016835,True,2.0,Uterus,False,,0,False,False,False,False,BRCA;KIRP;LGG;PCPG;TGCT;UCS,6,False
GDF6->BMPR1A,GDF6,BMPR1A,cardiac-enriched but low-abundance (<5 TPM in heart),False,0.6002479962024183,False,0.0005773189769016835,True,2.0,Uterus,False,,0,False,False,False,False,ACC;BRCA;CHOL;ESCA;GBM;KIRC;KIRP;LGG;LUAD;LUSC;MESO;PCPG;PRAD;TGCT,14,False
GDF6->BMPR1B,GDF6,BMPR1B,cardiac-enriched but low-abundance (<5 TPM in heart),False,0.6002479962024183,False,0.0005773189769016835,True,2.0,Uterus,False,KICH;PRAD,2,True,False,False,False,KICH;LGG;PCPG;PRAD;UCEC,5,False
GDF6->BMPR2,GDF6,BMPR2,cardiac-enriched but low-abundance (<5 TPM in heart),False,0.6002479962024183,False,0.0005773189769016835,True,2.0,Uterus,False,,0,False,False,False,False,BLCA;BRCA;CHOL;COAD;ESCA;HNSC;KICH;KIRC;KIRP;LGG;LIHC;OV;PAAD;PCPG;PRAD;SARC;SKCM;STAD;TGCT;THCA;UCEC;UCS,22,False
GDF9->ACVR1B,GDF9,ACVR1B,not-cardiac (heart TPM < 1),False,0.2021879197238204,False,0.0005656919293025908,False,50.0,Testis,False,LUAD;LUSC;UCEC,3,True,False,False,False,ACC;LUAD;LUSC;OV;PCPG;READ;UCEC;UCS,8,False
