gene,gene_symbol,log2FC,t,p_value,fdr,mean_expr,n_case,n_ctrl
ENSG00000151353,TMEM18,0.027010577977237195,0.8420711141982492,0.40030285723664166,0.46403155442821725,11.613461585234896,194,166
ENSG00000272447,RP11-182L21.6,0.04241814076088293,0.8416770474577943,0.40052316683011613,0.46426104026643483,8.644862883539595,194,166
ENSG00000178796,RIIAD1,-0.10634702138132825,-0.840783675802676,0.4010228920289811,0.46481436328039805,5.920143761701186,194,166
ENSG00000214106,PAXIP1-AS2,0.08539486768158593,0.8404159225875069,0.40122871129833493,0.46502698547075844,8.89290812894144,194,166
ENSG00000105607,GCDH,-0.050352568521702404,-0.8402108726744488,0.40134349857871765,0.46513408309432447,12.679444667562272,194,166
ENSG00000065371,ROPN1,0.1472393434288581,0.8398095155278681,0.4015682362613997,0.46536858787353036,5.436976122029559,194,166
ENSG00000108786,HSD17B1,0.07950081056196066,0.8391968367786299,0.40191144850653565,0.4657403564051925,7.912585932346339,194,166
ENSG00000196950,SLC39A10,-0.07641497846514293,-0.8391315535178829,0.4019480294971912,0.46575677489579187,11.25701569260088,194,166
ENSG00000108622,ICAM2,-0.06430796441312772,-0.8386370276178061,0.4022251985519326,0.46605195712894965,12.967147602640354,194,166
ENSG00000232274,RP11-782C8.2,0.1010381069762507,0.8385111040102775,0.40229579387827413,0.4661077660896752,6.954155452878374,194,166
ENSG00000198336,MYL4,0.13065580447768743,0.8384592287893378,0.40232487834822356,0.46611547621979343,13.655814527635943,194,166
ENSG00000131408,NR1H2,0.0758474065343664,0.8382250745546469,0.4024561755066284,0.4662415979040721,12.906264542187925,194,166
ENSG00000266040,CTB-58E17.3,-0.0839232801003782,-0.838111202448954,0.402520036263816,0.4662895854617515,6.075435170149831,194,166
ENSG00000272017,RP1-199J3.7,0.08665176041137063,0.8375519836124014,0.40283374100632235,0.46662697724929686,7.056830130352093,194,166
ENSG00000004534,RBM6,0.03355493799892152,0.8373434809350798,0.4029507423061172,0.46672335483068883,14.67900044050925,194,166
ENSG00000143799,PARP1,-0.024432490935541055,-0.837323668805321,0.40296186094856934,0.46672335483068883,14.982393822182598,194,166
ENSG00000196372,ASB13,-0.03550036587338334,-0.8368836369204378,0.40320885609254364,0.4669834051417906,11.715183805809733,194,166
ENSG00000105711,SCN1B,-0.060960127920166064,-0.8363758460214858,0.40349399833721655,0.4672876047395061,12.349859628797288,194,166
ENSG00000272034,SNORD14A,-0.07454898850008834,-0.8363181413232275,0.4035264092027596,0.4672990977789104,7.864722876563872,194,166
ENSG00000240622,RPL7P15,0.08295646885079484,0.8358828323477504,0.403770958642874,0.4675562404746219,6.294977665515465,194,166
ENSG00000185834,RPL12P4,0.08996039659644017,0.8358377805674712,0.4037962730803951,0.46755950024425763,9.019904092147375,194,166
ENSG00000256537,RP11-785H5.1,0.12771769768970703,0.8356203912732034,0.40391843677174033,0.46767341702993204,8.001681488943301,194,166
ENSG00000120071,KANSL1,-0.03618992052729959,-0.8355826212224208,0.4039396642255064,0.46767341702993204,12.563187530233133,194,166
ENSG00000179294,C17orf96,0.07207581026093482,0.8352334499013543,0.4041359365927003,0.4678745904363735,7.936408442556144,194,166
ENSG00000166595,FAM96B,-0.06212419670611986,-0.8336578447015047,0.405022311072949,0.46887463909570243,13.534679381590603,194,166
ENSG00000180953,ST20,0.06502109799218103,0.8334445668965567,0.4051423825222442,0.4689875139925778,9.46017006460978,194,166
ENSG00000230409,TCEA1P2,-0.12586061545127433,-0.8329973225775942,0.40539424214918485,0.4692529240852342,6.452639552119033,194,166
ENSG00000089225,TBX5,0.059516080511154965,0.8325743115518103,0.40563254155457734,0.4695026092261152,13.23420233868081,194,166
ENSG00000083845,RPS5,0.06598672500684837,0.832354774210322,0.4057562490302629,0.46961963860194345,15.29342203865621,194,166
ENSG00000095485,CWF19L1,-0.03396197971797824,-0.8322706035917364,0.40580368447811205,0.4696483831109181,12.157130538585598,194,166
ENSG00000240720,LRRD1,-0.0927993287831991,-0.8322125213616706,0.4058364194143776,0.46966011203709873,5.04193477285372,194,166
ENSG00000105829,BET1,-0.033564252530818475,-0.8315302552881405,0.4062210606745834,0.4700790657021115,11.8037801518326,194,166
ENSG00000106290,TAF6,0.037248405816331355,0.8308044165534388,0.4066305067375834,0.4705266752332379,11.961329447275565,194,166
ENSG00000245281,CTD-2547L16.1,0.046169575764126614,0.8305337030001255,0.40678327970813455,0.4706758820758675,7.952691605188621,194,166
ENSG00000007237,GAS7,-0.04465397941479583,-0.8304956618459464,0.40680475039529657,0.4706758820758675,14.1829387489359,194,166
ENSG00000119979,FAM45A,-0.022247948636942183,-0.8303263833132516,0.4069003005871106,0.4707602241677288,11.705130856954131,194,166
ENSG00000223849,RP11-80I15.1,0.10247200770631462,0.830219373466116,0.4069607098143479,0.47080390305917513,6.222019827758353,194,166
ENSG00000013810,TACC3,-0.06329549299706652,-0.8300122696302176,0.40707763938479263,0.4709129605909249,10.082446940313377,194,166
ENSG00000184831,APOO,0.03774179023827028,0.8299221256717039,0.40712854040174723,0.47094562750285046,13.308957807292586,194,166
ENSG00000128652,HOXD3,0.1115845076586442,0.8298590353312837,0.4071641674911502,0.47096062365766406,5.92288590184672,194,166
ENSG00000180626,ZNF594,0.05484763390706607,0.8291861176649731,0.4075442799631133,0.47137405698856,10.760606405183792,194,166
ENSG00000117419,ERI3,0.04556703229913634,0.8291315285212991,0.4075751251639399,0.4713834971077379,13.0574310429958,194,166
ENSG00000173039,RELA,0.034183844913589695,0.8286126055807866,0.4078684085899916,0.47169644381482645,12.967189554215116,194,166
ENSG00000254353,RP11-195E2.4,-0.17827634135862666,-0.8275429831504487,0.4084733330908999,0.47236974596338294,6.445249240490783,194,166
ENSG00000187626,ZKSCAN4,0.032057304374473704,0.8272683165770691,0.4086287571771911,0.47250353131909206,9.744553802505402,194,166
ENSG00000232093,RP11-307C12.11,-0.07494742719755335,-0.8272581757867582,0.40863449616797665,0.47250353131909206,5.96853196363749,194,166
ENSG00000225067,RPL23AP2,0.09324192973190054,0.8271727611666081,0.40868283688840756,0.4725331348900015,6.429621087846182,194,166
ENSG00000173660,UQCRH,-0.04103311577983064,-0.8267108016407587,0.40894434383091705,0.47280274995187055,16.324730686114755,194,166
ENSG00000123154,WDR83,0.06637872002093474,0.8266804585481807,0.40896152400677893,0.47280274995187055,10.127925425352403,194,166
ENSG00000160803,UBQLN4,-0.028650512862094215,-0.826327973012022,0.4091611319586356,0.47300720311706757,12.891249817688623,194,166
ENSG00000243554,AC004967.7,-0.03787464192541101,-0.825578598554267,0.4095856862960421,0.47345296593314645,8.94937638029339,194,166
ENSG00000231167,YBX1P2,-0.05194486043377321,-0.825555389636014,0.40959883939090475,0.47345296593314645,9.267896763210224,194,166
ENSG00000183150,GPR19,-0.08913881787945847,-0.8255267420894081,0.4096150750450912,0.47345296593314645,4.683100781791991,194,166
ENSG00000092201,SUPT16H,-0.02372769407827428,-0.8249712551277346,0.4099299665998785,0.47379058041780175,13.86041281446664,194,166
ENSG00000123610,TNFAIP6,0.09082080852707644,0.8248870089166447,0.4099777362699949,0.4738194392651557,9.932803520958773,194,166
ENSG00000128591,FLNC,-0.07060244222018228,-0.8246762346458153,0.41009726501198024,0.47393122368001117,17.618344575454532,194,166
ENSG00000171988,JMJD1C,-0.07886845423632921,-0.8242888880016266,0.4103169810444073,0.47415877123304384,13.274089212918751,194,166
ENSG00000106355,LSM5,-0.04145997537472858,-0.8233359604786976,0.4108578124285248,0.47475613178015363,12.983585197920082,194,166
ENSG00000261305,RP4-584D14.7,0.08579978403416251,0.8232975818651835,0.41087960300592186,0.47475613178015363,5.7019461089567915,194,166
ENSG00000171469,ZNF561,-0.031088616881374022,-0.8229380761128958,0.4110837563455144,0.47496421994621674,12.281761129866434,194,166
ENSG00000162433,AK4,-0.03406426439882422,-0.8228999597101508,0.41110540513799143,0.47496421994621674,15.01791689848608,194,166
ENSG00000228043,AC097721.2,0.0870902731636941,0.8222699665955542,0.41146331778139555,0.4753513012461186,4.650683347800751,194,166
ENSG00000166262,FAM227B,-0.03932402794483783,-0.8215539216853812,0.41187034368261216,0.47579507543878835,10.941494908207865,194,166
ENSG00000210049,,-0.08572069939662318,-0.8205826101193889,0.41242285554836894,0.47640685720681797,8.710540195143988,194,166
ENSG00000271324,RP11-10C24.2,-0.06444654910355233,-0.8203185402195681,0.4125731428646861,0.4765539704224913,7.760492149740574,194,166
ENSG00000198417,MT1F,-0.10438730143267154,-0.8201198402113314,0.41268624839045376,0.47663898057247395,7.262839883368915,194,166
ENSG00000224689,ZNF812,0.1302002198327592,0.8201086611664244,0.4126926123593919,0.47663898057247395,7.305177071071342,194,166
ENSG00000240240,RP11-146D12.2,-0.09258769985191963,-0.8198207193371262,0.4128565510347601,0.47680159046518034,4.94199667583952,194,166
ENSG00000143476,DTL,-0.09039497715306476,-0.8197617699263033,0.4128901184534626,0.47680159046518034,6.824551724802222,194,166
ENSG00000227543,SPAG5-AS1,0.11311550806462096,0.8197404856950486,0.41290223868011094,0.47680159046518034,6.505206084147597,194,166
ENSG00000071967,CYBRD1,0.056270554252099494,0.8188925770865758,0.4133852492486362,0.4773328257285052,14.8795638965146,194,166
ENSG00000232876,CTA-212D2.2,0.10723941086593301,0.8185066243305567,0.41360521819472695,0.47756028665988554,5.6774320307436446,194,166
ENSG00000174529,TMEM81,0.05192759871270292,0.8184088945837596,0.4136609290794734,0.477598075848688,9.17414429040726,194,166
ENSG00000140403,DNAJA4,-0.05607539612036868,-0.8179288121814468,0.413934665027907,0.47788757077471855,15.430725121647743,194,166
ENSG00000115339,GALNT3,-0.1019561238458018,-0.81734078939628,0.4142700936173124,0.4782368011805177,6.980358531204044,194,166
ENSG00000228300,C19orf24,0.13862807123519397,0.8173178429875184,0.4142831863169087,0.4782368011805177,9.673801771953698,194,166
ENSG00000271840,RP1-224A6.9,-0.09734592875736603,-0.8162918285867968,0.4148688579757575,0.4788862821526532,4.4438894715148916,194,166
ENSG00000141580,WDR45B,-0.023133347729891462,-0.8161696044091089,0.4149386589777773,0.4789402506230388,13.397612652981646,194,166
ENSG00000213468,RP11-453F18__B.1,0.09937233597460186,0.8159886375182546,0.4150420201534578,0.4790253539040734,4.8961146835289036,194,166
