gene,gene_symbol,logFC,t,P.Value,adj.P.Val,AveExpr,s2_prior_gene,limma_variant,df_prior
ENSG00000270062,RP11-248J18.3,-0.184907527964051,-1.58967224437106,0.116758481439442,0.201067226938471,0.978238437247643,0.140960279748686,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270067,CTC-487M23.5,0.40524632754589,4.18658920328496,8.68546320446501e-05,0.0005140424062934,1.6312574790431,0.138510133592302,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270069,RP6-99M1.2,0.73503407884842,4.26220847872061,6.67593953678053e-05,0.0004101790107988,1.87561886421092,0.13592155853314,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270081,RP5-935K16.1,0.17371835748175,2.14833286616054,0.0354165728307718,0.0766321460322152,2.94031473377673,0.11735551663628,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270083,RP1-257I20.14,0.262029532398232,1.7958406035329,0.0771650008600181,0.143839132962651,2.05660106045782,0.133447300754885,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270084,GAS5-AS1,0.141246150559507,1.73689446407658,0.0871401196524077,0.158917930879329,1.65244208481597,0.138324229185951,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270087,RP11-399K21.11,0.268453941270605,1.61618591553642,0.110895053093104,0.192930424431439,1.17486133965208,0.140822092408363,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270091,RP11-78O7.2,0.356863686110725,2.81004002667897,0.0065368265802108,0.0190201687081567,1.93381877457976,0.135172570222304,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270092,RP11-318K12.3,-0.235884007268146,-0.529279225454005,0.598413755670623,0.701323636627085,1.68456934377377,0.13802777188502,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270093,AP000473.8,0.249001791744343,1.80680144730354,0.0754192995867258,0.141290150930803,1.86183552401472,0.136092006009309,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
