complex_name,subunit_index,subunit_gene,n_subunits
FZD1_LRP6,2,LRP6,2
FZD2_LRP5,1,FZD2,2
FZD2_LRP5,2,LRP5,2
FZD2_LRP6,1,FZD2,2
FZD2_LRP6,2,LRP6,2
FZD3_LRP5,1,FZD3,2
FZD3_LRP5,2,LRP5,2
FZD3_LRP6,1,FZD3,2
FZD3_LRP6,2,LRP6,2
FZD4_LRP5,1,FZD4,2
FZD4_LRP5,2,LRP5,2
FZD4_LRP6,1,FZD4,2
FZD4_LRP6,2,LRP6,2
FZD5_LRP5,1,FZD5,2
FZD5_LRP5,2,LRP5,2
FZD5_LRP6,1,FZD5,2
FZD5_LRP6,2,LRP6,2
FZD6_LRP5,1,FZD6,2
FZD6_LRP5,2,LRP5,2
FZD6_LRP6,1,FZD6,2
FZD6_LRP6,2,LRP6,2
FZD7_LRP5,1,FZD7,2
FZD7_LRP5,2,LRP5,2
FZD7_LRP6,1,FZD7,2
FZD7_LRP6,2,LRP6,2
FZD8_LRP5,1,FZD8,2
FZD8_LRP5,2,LRP5,2
FZD8_LRP6,1,FZD8,2
FZD8_LRP6,2,LRP6,2
FZD9_LRP5,1,FZD9,2
FZD9_LRP5,2,LRP5,2
FZD9_LRP6,1,FZD9,2
FZD9_LRP6,2,LRP6,2
GFRA1_RET,1,GFRA1,2
GFRA1_RET,2,RET,2
GFRA2_RET,1,GFRA2,2
GFRA2_RET,2,RET,2
GFRA3_RET,1,GFRA3,2
GFRA3_RET,2,RET,2
GFRA4_RET,1,GFRA4,2
GFRA4_RET,2,RET,2
GP complex,1,GP1BA,4
GP complex,2,GP1BB,4
GP complex,3,GP5,4
GP complex,4,GP9,4
IFNAR1_IFNAR2,1,IFNAR1,2
IFNAR1_IFNAR2,2,IFNAR2,2
IFNGR1_IFNGR2,1,IFNGR1,2
IFNGR1_IFNGR2,2,IFNGR2,2
IFNLR1_IL10RB,1,IFNLR1,2
IFNLR1_IL10RB,2,IL10RB,2
IL10RA_IL10RB,1,IL10RA,2
IL10RA_IL10RB,2,IL10RB,2
IL11R complex,1,IL11RA,2
IL11R complex,2,IL6ST,2
IL12AB,1,IL12A,2
IL12AB,2,IL12B,2
IL12RB1_IL12RB2,1,IL12RB1,2
IL12RB1_IL12RB2,2,IL12RB2,2
IL15RA_IL2RB,1,IL15RA,3
IL15RA_IL2RB,2,IL2RB,3
IL15RA_IL2RB,3,IL2RG,3
IL17AF,1,IL17A,2
IL17AF,2,IL17F,2
IL17RA_IL17RB,1,IL17RA,2
IL17RA_IL17RB,2,IL17RB,2
IL17RA_IL17RC,1,IL17RA,2
IL17RA_IL17RC,2,IL17RC,2
IL17RA_IL17RE,1,IL17RA,2
IL17RA_IL17RE,2,IL17RE,2
IL18R1_IL18RAP,1,IL18R1,2
IL18R1_IL18RAP,2,IL18RAP,2
IL1R1_IL1RAP,1,IL1R1,2
IL1R1_IL1RAP,2,IL1RAP,2
IL1RL1_IL1RAP,1,IL1RL1,2
IL1RL1_IL1RAP,2,IL1RAP,2
IL1RL2_IL1RAP,1,IL1RL2,2
IL1RL2_IL1RAP,2,IL1RAP,2
IL20RA_IL10RB,1,IL20RA,2
IL20RA_IL10RB,2,IL10RB,2
IL20RA_IL20RB,1,IL20RA,2
IL20RA_IL20RB,2,IL20RB,2
IL21R_IL2RG,1,IL21R,2
IL21R_IL2RG,2,IL2RG,2
IL22RA1_IL10RB,1,IL22RA1,2
IL22RA1_IL10RB,2,IL10RB,2
IL22RA1_IL20RB,1,IL22RA1,2
IL22RA1_IL20RB,2,IL20RB,2
IL23 complex,1,IL12B,2
IL23 complex,2,IL23A,2
IL23R_IL12RB1,1,IL23R,2
IL23R_IL12RB1,2,IL12RB1,2
IL27 complex,1,IL27,2
IL27 complex,2,EBI3,2
IL27RA_IL6ST,1,IL27RA,2
IL27RA_IL6ST,2,IL6ST,2
IL28RA_IL10RB,1,IFNLR1,2
IL28RA_IL10RB,2,IL10RB,2
IL2RA_IL2RB,1,IL2RA,3
IL2RA_IL2RB,2,IL2RB,3
IL2RA_IL2RB,3,IL2RG,3
IL2RA_IL2RB_IL2RG,1,IL20RA,3
IL2RA_IL2RB_IL2RG,2,IL20RB,3
IL2RA_IL2RB_IL2RG,3,IL2RG,3
IL2RB_IL2RG,1,IL2RB,2
IL2RB_IL2RG,2,IL2RG,2
IL31RA_OSMR,1,IL31RA,2
IL31RA_OSMR,2,OSMR,2
IL3RA_CSF2RB,1,IL3RA,2
IL3RA_CSF2RB,2,CSF2RB,2
IL4R_IL13RA1,1,IL4R,2
IL4R_IL13RA1,2,IL13RA1,2
IL4R_IL13RA2,1,IL4R,2
IL4R_IL13RA2,2,IL13RA2,2
IL4R_IL2RG,1,IL4R,2
IL4R_IL2RG,2,IL2RG,2
IL5RA_CSF2RB,1,IL5RA,2
IL5RA_CSF2RB,2,CSF2RB,2
IL6R_IL6ST,1,IL6R,2
IL6R_IL6ST,2,IL6ST,2
IL7R_CRLF2,1,IL7R,2
IL7R_CRLF2,2,CRLF2,2
IL7R_IL2RG,1,IL7R,2
IL7R_IL2RG,2,IL2RG,2
IL9R_IL2RG,1,IL9R,2
IL9R_IL2RG,2,IL2RG,2
ITGA10_ITGB1,1,ITGA10,2
ITGA10_ITGB1,2,ITGB1,2
ITGA11_ITGB1,1,ITGA11,2
ITGA11_ITGB1,2,ITGB1,2
ITGA1_ITGB1,1,ITGA1,2
ITGA1_ITGB1,2,ITGB1,2
ITGA2B_ITGB3,1,ITGA2B,2
ITGA2B_ITGB3,2,ITGB3,2
ITGA2_ITGB1,1,ITGA2,2
ITGA2_ITGB1,2,ITGB1,2
ITGA3_ITGB1,1,ITGA3,2
ITGA3_ITGB1,2,ITGB1,2
ITGA4_ITGB1,1,ITGA4,2
ITGA4_ITGB1,2,ITGB1,2
ITGA4_ITGB7,1,ITGA4,2
ITGA4_ITGB7,2,ITGB7,2
ITGA5_ITGB1,1,ITGA5,2
ITGA5_ITGB1,2,ITGB1,2
ITGA6_ITGB1,1,ITGA6,2
ITGA6_ITGB1,2,ITGB1,2
ITGA6_ITGB4,1,ITGA6,2
ITGA6_ITGB4,2,ITGB4,2
ITGA7_ITGB1,1,ITGA7,2
ITGA7_ITGB1,2,ITGB1,2
ITGA8_ITGB1,1,ITGA8,2
ITGA8_ITGB1,2,ITGB1,2
ITGA9_ITGB1,1,ITGA9,2
ITGA9_ITGB1,2,ITGB1,2
ITGAE_ITGB7,1,ITGAE,2
ITGAE_ITGB7,2,ITGB7,2
ITGAL_ITGB2,1,ITGAL,2
ITGAL_ITGB2,2,ITGB2,2
ITGAM_ITGB2,1,ITGAM,2
ITGAM_ITGB2,2,ITGB2,2
ITGAV_ITGB1,1,ITGAV,2
ITGAV_ITGB1,2,ITGB1,2
ITGAV_ITGB3,1,ITGAV,2
ITGAV_ITGB3,2,ITGB3,2
ITGAV_ITGB5,1,ITGAV,2
ITGAV_ITGB5,2,ITGB5,2
ITGAV_ITGB6,1,ITGAV,2
ITGAV_ITGB6,2,ITGB6,2
ITGAV_ITGB8,1,ITGAV,2
ITGAV_ITGB8,2,ITGB8,2
ITGAX_ITGB2,1,ITGAX,2
ITGAX_ITGB2,2,ITGB2,2
ITGB1_ITGA1,1,ITGB1,2
ITGB1_ITGA1,2,ITGA1,2
Inhibin A,1,INHA,2
Inhibin A,2,INHBA,2
Inhibin B,1,INHA,2
Inhibin B,2,INHBB,2
KLRD1_KLRC1,1,KLRD1,2
KLRD1_KLRC1,2,KLRC1,2
KLRD1_KLRC2,1,KLRD1,2
KLRD1_KLRC2,2,KLRC2,2
KLRK1_HCST,1,KLRK1,2
KLRK1_HCST,2,HCST,2
LIFR_IL6ST,1,LIFR,2
LIFR_IL6ST,2,IL6ST,2
LTa1b2,1,LTA,2
LTa1b2,2,LTB,2
NRP1_NRP2,1,NRP1,3
NRP1_NRP2,2,NRP2,3
NRP1_NRP2,3,PLXND1,3
NRP1_PLXNA1,1,NRP1,2
NRP1_PLXNA1,2,PLXNA1,2
NRP1_PLXNA2,1,NRP1,2
NRP1_PLXNA2,2,PLXNA2,2
NRP1_PLXNA3,1,NRP1,2
NRP1_PLXNA3,2,PLXNA3,2
NRP1_PLXNA4,1,NRP1,2
NRP1_PLXNA4,2,PLXNA4,2
NRP2_PLXNA1,1,NRP2,2
NRP2_PLXNA1,2,PLXNA1,2
NRP2_PLXNA2,1,NRP2,2
NRP2_PLXNA2,2,PLXNA2,2
NRP2_PLXNA3,1,NRP2,2
NRP2_PLXNA3,2,PLXNA3,2
NRP2_PLXNA4,1,NRP2,2
NRP2_PLXNA4,2,PLXNA4,2
Npnt complex 1,1,NPNT,3
Npnt complex 1,2,FRAS1,3
Npnt complex 1,3,FREM1,3
Npnt complex 2,1,NPNT,3
Npnt complex 2,2,FRAS1,3
Npnt complex 2,3,FREM2,3
OSMR_IL6ST,1,OSMR,2
OSMR_IL6ST,2,IL6ST,2
PLXNA1_KDR,1,PLXNA1,2
PLXNA1_KDR,2,KDR,2
PLXNA1_TREM2,1,PLXNA1,3
PLXNA1_TREM2,2,TREM2,3
PLXNA1_TREM2,3,TYROBP,3
PTCH1_SMO,1,PTCH1,2
PTCH1_SMO,2,SMO,2
PTCH2_SMO,1,PTCH2,2
PTCH2_SMO,2,SMO,2
TGFBR1_ACVR2A,1,TGFBR1,2
TGFBR1_ACVR2A,2,ACVR2A,2
TGFBR1_ACVR2B,1,TGFBR1,2
TGFBR1_ACVR2B,2,ACVR2B,2
TGFbR1_R2,1,TGFBR1,2
TGFbR1_R2,2,TGFBR2,2
