gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,UCEC,UCS,UVM
FZD3,134.5350,121.9180,142.0930,38.4469,57.9395,134.6686,133.2028,418.0935,78.5750,123.2565,84.2424,94.0734,278.3685,29.8552,98.1569,116.1230,55.1230,271.7854,71.2298,183.3810,160.1440,117.8158,33.1203,149.3070,144.7840,178.6580,130.8650,337.0401,192.0520,140.2710
FZD4,863.5380,410.0365,937.2770,220.1000,576.8090,301.9020,349.4900,419.9335,237.2340,1136.9600,4572.1600,2817.8300,394.9855,920.1820,597.2740,318.6230,1019.9100,1138.4291,742.9705,924.3040,1900.3300,292.9404,984.8470,289.0060,579.7494,430.8325,1014.8000,354.1483,933.0090,252.2055
FZD5,244.7150,364.3625,130.0160,246.1840,1178.5750,1642.1950,709.6533,227.7065,355.5440,233.2920,747.1420,510.8340,103.5455,1365.6300,807.0550,409.0500,153.7290,439.2829,759.5055,346.5490,1087.2400,1565.6507,110.5060,126.2500,1610.0016,1917.3600,667.7910,650.0602,292.9690,139.3320
FZD6,614.4180,1229.6850,910.8850,1714.4000,654.3860,581.9495,1530.8604,237.1340,2335.3750,1585.8350,709.3880,633.0135,79.7766,251.2030,1017.1900,2652.8900,859.8220,1291.8680,698.0945,402.4110,742.2170,587.0655,405.4210,730.6360,701.1816,274.9010,1499.0500,1110.9067,308.4790,169.6975
FZD7,152.2960,374.2910,774.8760,222.7670,229.5240,342.1322,623.1979,916.9290,427.7865,456.9790,268.1800,123.2980,361.4035,58.9657,327.9300,1012.5400,593.3230,763.4189,502.1775,254.1440,642.5349,400.5510,1218.0500,497.3740,454.0644,407.0705,373.7150,215.6268,1273.5400,326.5095
FZD8,90.2032,59.5809,257.2600,136.8040,255.4690,170.3618,92.3542,134.3035,119.6200,163.0970,334.6560,553.2350,79.1618,77.8952,241.9480,182.5600,144.4540,183.9593,287.9700,80.7393,245.7350,194.4854,267.4340,29.4760,193.6815,580.5170,203.0200,436.3031,680.3720,146.5235
FZD9,61.8364,5.7489,4.5844,21.0035,4.2424,8.1498,6.4819,19.1320,13.8622,5.8262,5.0265,5.1797,35.4375,2.4450,11.9403,23.7144,4.1308,9.6785,3.5632,5.6778,45.7659,9.5250,10.2758,195.1770,3.1078,38.2425,2.8842,15.4976,91.3931,513.3045
GAL,0.0000,3.9024,8.3844,3.3040,2.1349,96.0928,27.8227,19.3965,12.2028,0.1510,0.0000,0.8500,2.0852,0.0000,3.7508,29.3976,10.4513,17.9472,17.2486,35.4748,42.6465,155.9399,4.1859,5.4585,37.7713,56.6492,0.3329,9.7709,73.7519,107.8435
GALP,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2844,0.0000,0.0000,0.0000,0.2511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0259,0.0000,0.0000,1.0463,0.0000,0.0000
GALR1,0.6068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,80.7951,0.0000,4.6981,5.3763,0.0000,33.1810,0.0000,0.0000,0.0000,0.3267,-0.2306,1.0953,198.1860,3.0599,0.0000,0.7722,0.0000,0.0461,0.0000,0.6609,0.0000,0.0000,0.0000
GALR2,1.2121,4.0862,0.5340,4.6940,1.3942,2.0669,2.3252,1.1332,3.9100,1.2023,0.3371,1.3056,0.6531,1.8587,2.1392,2.8110,0.9917,1.6494,1.5192,1.5987,1.2634,2.3181,0.9911,1.7043,1.4420,4.2827,2.6473,3.8360,4.3066,0.8077
GALR3,0.0000,0.0000,0.0000,0.4416,0.0000,0.0000,0.0490,0.5192,0.0000,0.0000,0.0000,0.0000,2.0454,1.7395,0.0000,0.0000,0.0000,0.7064,0.0000,0.0000,0.8537,0.0000,0.0000,0.0000,-0.0799,0.6668,0.0000,0.0185,0.4026,0.4867
GAPDH,106459.0000,80289.0000,43972.3000,67970.5000,58757.3500,70298.5000,44072.1118,88114.4500,90675.3000,64760.2500,100560.0000,89217.1000,46292.6000,59563.2000,48083.9000,104458.0000,74549.5000,88505.3309,47176.2500,62694.8000,30842.1000,64272.3838,56720.2000,118612.0000,47229.5220,134855.0000,36433.3000,85082.7297,96330.8000,107245.0000
GAS1,83.7227,115.8090,465.3140,197.8150,39.4295,50.6077,115.2736,571.7520,396.3370,33.2066,54.2330,49.6018,286.8255,18.6079,118.1510,215.5670,2250.9200,934.8901,404.4500,34.1431,208.5290,38.8189,1829.6500,390.2910,105.6192,225.8480,50.5814,79.1939,1003.9800,244.4900
GAS6,1121.2400,1110.5200,1622.7400,2258.0400,2186.8550,2330.6050,1608.2506,1030.6300,2308.4500,11566.2500,2201.7800,1568.7650,938.1730,1325.8500,1740.4800,1706.9300,7119.4000,5692.1343,4269.7600,4755.1400,1821.3200,2284.2675,4387.5100,866.6190,1905.1952,1185.1750,5570.7400,854.5991,1377.1200,1099.6000
GCG,0.0000,0.0000,0.0000,0.0000,0.0000,0.4881,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0197,4791.3900,0.0000,0.9662,1.7906,0.0000,0.0000,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000
GCGR,0.0000,0.4746,0.0000,2.0048,1.2778,0.4768,1.6416,0.0000,1.8184,1298.8250,0.3162,1.0651,0.0000,231.2460,0.5260,1.6601,0.0000,0.7623,8.9695,378.9530,0.3757,0.5428,0.0000,0.0000,0.8052,54.0094,0.5800,0.9081,6.4599,0.4092
GDF10,5.8019,0.9704,9.0439,2.2931,4.4282,1.6264,0.7771,7.7647,4.2726,0.6534,2.7027,0.4418,99.6542,1.2862,29.1419,7.5668,2.6667,2.7769,9.4541,263.5480,5.9247,4.2953,4.4843,4.6809,2.6738,8.1715,10.1085,2.1854,31.1861,0.4966
GDF11,397.4280,275.6495,125.8900,118.4450,92.2481,182.8845,133.5901,620.5210,139.6605,131.6510,218.7870,194.0180,787.7570,52.1972,178.2160,273.1350,138.7490,452.0378,175.5400,643.2840,362.0040,192.9410,468.9930,670.8310,146.1371,449.7185,227.8180,624.1079,852.2990,1012.7350
GDF1,10.0740,1.2448,1.9945,0.7908,0.8619,0.4491,0.4008,2176.7500,1.4703,1.8841,0.5757,0.7588,1528.8700,0.4993,0.9244,2.5998,8.7597,27.2572,3.7485,93.0943,10.2113,0.5047,7.5762,132.8150,0.4888,46.3299,10.3209,9.6474,107.0400,237.3805
GDF15,288.7030,1955.5850,195.2920,332.1400,2751.2850,2946.3397,174.7415,201.9250,57.6211,4810.7650,1014.0100,3011.0600,8.5938,1405.0300,1069.4000,246.5970,187.3720,171.5193,670.5305,224.8430,6179.5200,2695.2285,240.8070,3526.1100,1132.6264,152.3905,1389.1400,1267.1311,409.4970,2832.7250
GDF2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
