receptor,tumor_type,gtex_tissue,tumor_rank_metric,normal_rank_metric,delta_percentile,panel_background_shift,delta_percentile_bg_corrected,direction_gtex_rank,tumor_median_rsem,normal_median_tpm,passes_tcga_floor_in_type,mapping_quality,max_ligand_availability,in_top_ligand_axis,caveat,n_tcga_adjacent_normals,adjnormal_median_rsem,log2FC_tumor_vs_adjnormal,log2FC_bg_corrected_within_tcga,cliffs_delta,fdr_within_tcga,direction_within_tcga,consensus_direction,direction
ITGB1,LUAD,Lung,98.26,95.07,3.19,0.8,2.39,comparable,11637.5,180.713,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,11754.15,-0.0144,0.1123,-0.0443,0.6210233218819139,comparable,comparable (both methods agree),comparable
ITGB3,LUAD,Lung,53.23,55.98,-2.76,0.8,-3.55,comparable,137.2,8.4117,False,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,133.12,0.0433,0.17,0.0176,0.8503302355337622,comparable,comparable (both methods agree),comparable
ITGB4,LUAD,Lung,92.97,66.21,26.76,0.8,25.96,enriched,3680.0,18.2769,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,1436.46,1.3566,1.4833,0.536,7.740378264849789e-11,enriched,enriched (both methods agree),enriched
ITGB5,LUAD,Lung,91.15,88.47,2.68,0.8,1.89,comparable,2876.58,79.2566,True,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,2369.77,0.2795,0.4062,0.2488,0.002998873953732098,comparable,comparable (both methods agree),comparable
LIFR,LUAD,Lung,81.58,79.41,2.18,0.8,1.38,comparable,1127.62,39.7253,True,good,0.5246,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,3952.57,-1.8086,-1.6819,-0.8694,3.221258660021177e-26,depleted,comparable/depleted (partial),comparable
LRP1,LUAD,Lung,96.45,92.82,3.63,0.8,2.83,comparable,7204.66,136.926,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,14616.25,-1.0205,-0.8938,-0.6602,1.0236030527196117e-15,depleted,comparable/depleted (partial),comparable
LRP5,LUAD,Lung,91.01,77.23,13.78,0.8,12.98,enriched,2807.13,35.5339,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,2447.01,0.198,0.3247,0.2089,0.013438943097520193,comparable,enriched/comparable (partial),enriched
LRP6,LUAD,Lung,78.46,64.32,14.14,0.8,13.34,enriched,890.8,15.9488,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,1079.13,-0.2764,-0.1497,-0.2874,0.0005714210337507869,comparable,enriched/comparable (partial),enriched
MERTK,LUAD,Lung,66.13,68.96,-2.83,0.8,-3.63,comparable,366.54,21.6946,True,good,0.1195,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,389.13,-0.086,0.0407,-0.0271,0.7704461182341856,comparable,comparable (both methods agree),comparable
NCL,LUAD,Lung,97.97,95.43,2.54,0.8,1.74,comparable,11182.3,189.576,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,8479.88,0.3991,0.5258,0.6479,3.4520900000580263e-15,enriched,comparable/enriched (partial),comparable
NPR1,LUAD,Lung,55.98,85.35,-29.37,0.8,-30.17,depleted,169.99,60.0098,False,good,3.0542,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,1656.57,-3.2771,-3.1504,-0.9591,2.0079696413494154e-31,depleted,depleted (both methods agree),depleted
NRP1,LUAD,Lung,92.02,80.28,11.75,0.8,10.95,enriched,3408.98,41.4733,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,4125.74,-0.2752,-0.1485,-0.2094,0.013211061066592755,comparable,enriched/comparable (partial),enriched
NRP2,LUAD,Lung,83.61,66.64,16.97,0.8,16.17,enriched,1267.75,18.6129,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,1914.11,-0.594,-0.4673,-0.4125,6.060331501535775e-07,comparable,enriched/comparable (partial),enriched
NTRK1,LUAD,Lung,26.83,37.85,-11.02,0.8,-11.82,depleted,6.49,1.834,False,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,12.16,-0.8138,-0.6871,-0.3784,5.017915066489834e-06,depleted,depleted (both methods agree),depleted
