receptor,tumor_type,gtex_tissue,tumor_rank_metric,normal_rank_metric,delta_percentile,panel_background_shift,delta_percentile_bg_corrected,direction_gtex_rank,tumor_median_rsem,normal_median_tpm,passes_tcga_floor_in_type,mapping_quality,max_ligand_availability,in_top_ligand_axis,caveat,n_tcga_adjacent_normals,adjnormal_median_rsem,log2FC_tumor_vs_adjnormal,log2FC_bg_corrected_within_tcga,cliffs_delta,fdr_within_tcga,direction_within_tcga,consensus_direction,direction
AGTR1,GBM,Brain_Cortex,35.53,22.55,12.98,1.45,11.53,enriched,14.41,0.1239,False,good,0.1766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
AXL,GBM,Brain_Cortex,83.47,81.58,1.89,1.45,0.44,comparable,1336.64,16.4178,True,good,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
BMPR1A,GBM,Brain_Cortex,68.53,54.46,14.07,1.45,12.62,enriched,504.22,2.7155,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
BMPR1B,GBM,Brain_Cortex,70.2,68.09,2.1,1.45,0.65,comparable,584.98,6.708,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
BMPR2,GBM,Brain_Cortex,87.09,78.83,8.27,1.45,6.82,comparable,1738.43,12.6766,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
CCR1,GBM,Brain_Cortex,65.26,35.17,30.09,1.45,28.64,enriched,388.03,0.5303,True,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
CCR5,GBM,Brain_Cortex,53.59,20.52,33.07,1.45,31.62,enriched,119.36,0.0986,False,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
CD4,GBM,Brain_Cortex,85.93,63.89,22.04,1.45,20.59,enriched,1609.45,5.1802,True,good,0.4296,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
CD44,GBM,Brain_Cortex,98.11,48.95,49.17,1.45,47.72,enriched,11153.8,1.6076,True,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
CX3CR1,GBM,Brain_Cortex,81.0,50.04,30.96,1.45,29.51,enriched,1135.54,1.8557,True,good,0.9787,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
EGFR,GBM,Brain_Cortex,94.92,67.3,27.63,1.45,26.18,enriched,4086.18,6.2543,True,good,0.2873,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
ERBB2,GBM,Brain_Cortex,81.44,67.73,13.71,1.45,12.26,enriched,1168.77,6.4674,True,good,0.8766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
ERBB3,GBM,Brain_Cortex,61.28,70.41,-9.14,1.45,-10.59,depleted,256.23,7.5965,False,good,0.8766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
ERBB4,GBM,Brain_Cortex,60.33,65.19,-4.86,1.45,-6.31,comparable,230.45,5.4817,False,good,0.8766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
F2R,GBM,Brain_Cortex,89.05,39.52,49.53,1.45,48.08,enriched,2079.99,0.8093,True,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
F2RL1,GBM,Brain_Cortex,54.68,29.51,25.16,1.45,23.71,enriched,135.25,0.277,False,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
F2RL2,GBM,Brain_Cortex,45.03,18.35,26.69,1.45,25.24,enriched,46.53,0.0728,False,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
F2RL3,GBM,Brain_Cortex,38.14,22.26,15.88,1.45,14.43,enriched,18.82,0.1217,False,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
FGFR1,GBM,Brain_Cortex,90.36,81.94,8.41,1.45,6.96,comparable,2208.97,16.6456,True,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
FGFR2,GBM,Brain_Cortex,73.89,85.5,-11.6,1.45,-13.05,depleted,725.73,21.694,True,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,depleted (GTEx rank only),depleted
FGFR3,GBM,Brain_Cortex,80.64,97.39,-16.75,1.45,-18.2,depleted,1103.04,109.623,True,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,depleted (GTEx rank only),depleted
FGFR4,GBM,Brain_Cortex,40.61,45.4,-4.79,1.45,-6.24,comparable,25.52,1.2293,False,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FLT1,GBM,Brain_Cortex,74.98,73.31,1.67,1.45,0.22,comparable,768.86,8.7095,True,good,0.1691,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
FZD1,GBM,Brain_Cortex,70.27,53.08,17.19,1.45,15.74,enriched,585.29,2.359,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
FZD10,GBM,Brain_Cortex,36.33,35.53,0.8,1.45,-0.65,comparable,15.39,0.5402,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FZD2,GBM,Brain_Cortex,56.13,42.35,13.78,1.45,12.33,enriched,155.67,0.9975,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
FZD3,GBM,Brain_Cortex,65.84,63.38,2.47,1.45,1.02,comparable,418.09,4.9644,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
FZD4,GBM,Brain_Cortex,65.92,67.22,-1.31,1.45,-2.76,comparable,419.93,6.2185,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
FZD5,GBM,Brain_Cortex,60.04,41.26,18.78,1.45,17.33,enriched,227.71,0.944,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
FZD6,GBM,Brain_Cortex,60.62,56.64,3.99,1.45,2.54,comparable,237.13,3.1323,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FZD7,GBM,Brain_Cortex,78.68,51.85,26.83,1.45,25.38,enriched,916.93,2.0803,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
FZD8,GBM,Brain_Cortex,54.53,63.45,-8.92,1.45,-10.37,depleted,134.3,4.9989,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
FZD9,GBM,Brain_Cortex,38.29,61.35,-23.06,1.45,-24.51,depleted,19.13,4.3716,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
HAVCR2,GBM,Brain_Cortex,79.77,51.2,28.57,1.45,27.12,enriched,999.65,2.0282,True,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
IGF1R,GBM,Brain_Cortex,75.34,73.75,1.6,1.45,0.15,comparable,780.71,8.8949,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
IGF2R,GBM,Brain_Cortex,83.76,61.42,22.34,1.45,20.88,enriched,1379.89,4.3979,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
IL17RB,GBM,Brain_Cortex,69.18,85.71,-16.53,1.45,-17.98,depleted,531.92,22.1767,True,good,0.1853,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,depleted (GTEx rank only),depleted
IL6ST,GBM,Brain_Cortex,75.71,87.89,-12.18,1.45,-13.63,depleted,792.32,26.4322,True,good,0.5246,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,depleted (GTEx rank only),depleted
ITGA4,GBM,Brain_Cortex,61.71,31.91,29.8,1.45,28.35,enriched,262.67,0.3567,False,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
ITGA6,GBM,Brain_Cortex,85.13,76.29,8.85,1.45,7.4,comparable,1538.13,10.2881,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
ITGAV,GBM,Brain_Cortex,96.45,82.89,13.56,1.45,12.11,enriched,5538.4,17.926,True,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
ITGB1,GBM,Brain_Cortex,95.65,76.21,19.43,1.45,17.98,enriched,4707.18,10.1991,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
ITGB3,GBM,Brain_Cortex,55.84,28.93,26.9,1.45,25.45,enriched,152.62,0.2554,False,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
ITGB4,GBM,Brain_Cortex,87.53,80.93,6.6,1.45,5.15,comparable,1841.2,15.6023,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
ITGB5,GBM,Brain_Cortex,85.57,78.39,7.18,1.45,5.73,comparable,1599.66,12.3351,True,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
LIFR,GBM,Brain_Cortex,90.86,75.2,15.66,1.45,14.21,enriched,2368.7,9.5997,True,good,0.5246,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
LRP1,GBM,Brain_Cortex,98.48,93.4,5.08,1.45,3.63,comparable,14094.4,48.979,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
LRP5,GBM,Brain_Cortex,76.21,58.45,17.77,1.45,16.32,enriched,805.21,3.5949,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
LRP6,GBM,Brain_Cortex,71.94,62.58,9.35,1.45,7.9,comparable,645.04,4.729,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
MERTK,GBM,Brain_Cortex,70.99,78.32,-7.32,1.45,-8.77,comparable,604.95,12.2362,True,good,0.1195,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
NCL,GBM,Brain_Cortex,97.39,96.66,0.73,1.45,-0.73,comparable,8081.58,90.542,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
NPR1,GBM,Brain_Cortex,48.51,41.41,7.11,1.45,5.66,comparable,70.05,0.9574,False,good,3.0542,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
NRP1,GBM,Brain_Cortex,84.41,57.07,27.34,1.45,25.89,enriched,1452.79,3.2193,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
NRP2,GBM,Brain_Cortex,86.29,54.17,32.12,1.45,30.67,enriched,1635.52,2.5773,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
NTRK1,GBM,Brain_Cortex,32.56,32.41,0.15,1.45,-1.31,comparable,9.69,0.3754,False,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
NTRK2,GBM,Brain_Cortex,97.53,95.79,1.74,1.45,0.29,comparable,8523.88,74.2424,True,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
NTRK3,GBM,Brain_Cortex,78.97,72.23,6.74,1.45,5.29,comparable,933.75,8.2947,True,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
PARD3,GBM,Brain_Cortex,64.1,63.52,0.58,1.45,-0.87,comparable,350.69,5.0259,True,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
PDGFRB,GBM,Brain_Cortex,87.67,86.58,1.09,1.45,-0.36,comparable,1861.65,23.5073,True,good,0.2297,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
PLXNA1,GBM,Brain_Cortex,85.21,91.3,-6.09,1.45,-7.54,comparable,1544.21,37.4914,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
PLXNA2,GBM,Brain_Cortex,77.81,81.8,-3.99,1.45,-5.44,comparable,868.71,16.5485,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
PLXNA3,GBM,Brain_Cortex,83.32,72.08,11.24,1.45,9.79,comparable,1329.42,8.153,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
PLXNA4,GBM,Brain_Cortex,77.23,70.05,7.18,1.45,5.73,comparable,838.04,7.4244,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
PTPRC,GBM,Brain_Cortex,70.92,39.81,31.11,1.45,29.66,enriched,602.94,0.8497,True,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
PTPRZ1,GBM,Brain_Cortex,99.27,92.02,7.25,1.45,5.8,comparable,32670.45,41.2045,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
SDC1,GBM,Brain_Cortex,63.45,41.48,21.97,1.45,20.52,enriched,319.62,0.9581,False,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
SDC2,GBM,Brain_Cortex,85.35,83.47,1.89,1.45,0.44,comparable,1583.57,18.8991,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
SDC3,GBM,Brain_Cortex,98.4,96.01,2.39,1.45,0.94,comparable,13991.7,77.613,True,good,0.7548,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
SDC4,GBM,Brain_Cortex,85.79,93.98,-8.19,1.45,-9.64,comparable,1603.52,52.748,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
SORT1,GBM,Brain_Cortex,96.3,94.92,1.38,1.45,-0.07,comparable,5212.27,61.012,True,good,0.2905,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
TGFBR1,GBM,Brain_Cortex,86.58,53.88,32.7,1.45,31.25,enriched,1674.16,2.5243,True,good,0.68,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
TGFBR2,GBM,Brain_Cortex,82.09,68.38,13.71,1.45,12.26,enriched,1218.9,6.7452,True,good,0.878,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
TNFRSF12A,GBM,Brain_Cortex,82.81,48.3,34.52,1.45,33.07,enriched,1271.71,1.5323,True,good,0.2206,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
TNFRSF1A,GBM,Brain_Cortex,93.69,78.61,15.08,1.45,13.63,enriched,3261.45,12.4238,True,good,0.5089,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
TNFRSF1B,GBM,Brain_Cortex,78.17,64.39,13.78,1.45,12.33,enriched,884.45,5.2873,True,good,0.5089,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
TYRO3,GBM,Brain_Cortex,84.7,92.17,-7.47,1.45,-8.92,comparable,1485.35,42.0977,True,good,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
ACKR1,HNSC,Minor_Salivary_Gland,52.79,91.59,-38.8,0.8,-39.59,depleted,111.09,56.5607,False,poor,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
ACVR1,HNSC,Minor_Salivary_Gland,79.91,81.51,-1.6,0.8,-2.39,comparable,975.54,22.4918,True,poor,0.68,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy,43.0,513.98,0.9232,0.9232,0.5794,8.651774994249706e-10,enriched,comparable/enriched (partial),comparable
ACVR1B,HNSC,Minor_Salivary_Gland,81.44,83.03,-1.6,0.8,-2.39,comparable,1143.54,25.9215,True,poor,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy,43.0,1222.22,-0.0959,-0.0959,-0.1801,0.06528255966555788,comparable,comparable (both methods agree),comparable
ACVR2A,HNSC,Minor_Salivary_Gland,62.44,68.96,-6.53,0.8,-7.32,comparable,238.54,10.9419,False,poor,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy; below TCGA expression floor in this tumor type,43.0,421.56,-0.8189,-0.8189,-0.693,2.0496976089844487e-13,depleted,comparable/depleted (partial),comparable
ACVR2B,HNSC,Minor_Salivary_Gland,56.71,47.43,9.28,0.8,8.48,comparable,152.46,2.3026,False,poor,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy; below TCGA expression floor in this tumor type,43.0,124.53,0.2898,0.2898,0.1421,0.1497822620219473,comparable,comparable (both methods agree),comparable
AGTR1,HNSC,Minor_Salivary_Gland,24.15,53.88,-29.73,0.8,-30.53,depleted,3.1,3.9197,False,poor,0.1766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy; below TCGA expression floor in this tumor type,43.0,9.63,-1.3735,-1.3735,-0.3788,7.026010693753407e-05,depleted,depleted (both methods agree),depleted
AXL,HNSC,Minor_Salivary_Gland,79.12,75.34,3.77,0.8,2.97,comparable,923.87,16.9234,True,poor,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy,43.0,533.08,0.7922,0.7922,0.3378,0.0004055616851938898,enriched,comparable/enriched (partial),comparable
BMPR1A,HNSC,Minor_Salivary_Gland,66.86,66.21,0.65,0.8,-0.15,comparable,350.25,9.2243,True,poor,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy,43.0,381.32,-0.1223,-0.1223,-0.3019,0.0016327094641960412,comparable,comparable (both methods agree),comparable
BMPR1B,HNSC,Minor_Salivary_Gland,53.08,38.58,14.5,0.8,13.71,enriched,114.54,1.1659,False,poor,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy; below TCGA expression floor in this tumor type,43.0,35.94,1.645,1.645,0.4241,8.080166129765727e-06,enriched,enriched (both methods agree),enriched
BMPR2,HNSC,Minor_Salivary_Gland,87.09,71.28,15.81,0.8,15.01,enriched,1891.51,12.7835,True,poor,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy,43.0,1946.65,-0.0414,-0.0414,-0.0764,0.4520175584690109,comparable,enriched/comparable (partial),enriched
CCR1,HNSC,Minor_Salivary_Gland,54.02,46.63,7.4,0.8,6.6,comparable,125.01,2.1609,False,poor,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy; below TCGA expression floor in this tumor type,43.0,83.47,0.5771,0.5771,0.2315,0.017018534672215726,enriched,comparable/enriched (partial),comparable
CCR5,HNSC,Minor_Salivary_Gland,53.59,40.54,13.05,0.8,12.26,enriched,119.37,1.3983,False,poor,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy; below TCGA expression floor in this tumor type,43.0,98.29,0.2778,0.2778,0.1012,0.3115038921663333,comparable,enriched/comparable (partial),enriched
CD4,HNSC,Minor_Salivary_Gland,76.07,61.78,14.29,0.8,13.49,enriched,738.14,7.0058,True,poor,0.4296,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy,43.0,541.11,0.4473,0.4473,0.1504,0.12639036637073242,comparable,enriched/comparable (partial),enriched
CD44,HNSC,Minor_Salivary_Gland,98.69,95.14,3.55,0.8,2.76,comparable,22291.2,90.3589,True,poor,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy,43.0,15840.5,0.4928,0.4928,0.4385,3.882616505320949e-06,comparable,comparable (both methods agree),comparable
CX3CR1,HNSC,Minor_Salivary_Gland,37.71,38.8,-1.09,0.8,-1.89,comparable,20.99,1.1844,False,poor,0.9787,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy; below TCGA expression floor in this tumor type,43.0,83.44,-1.9409,-1.9409,-0.6846,4.029221534578192e-13,depleted,comparable/depleted (partial),comparable
EGFR,HNSC,Minor_Salivary_Gland,90.86,85.28,5.58,0.8,4.79,comparable,2885.97,31.626,True,poor,0.2873,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; mapping poor: head&neck squamous has no clean GTEx counterpart; salivary gland is a weak proxy,43.0,2150.27,0.4244,0.4244,0.2255,0.020208308936014496,comparable,comparable (both methods agree),comparable
