gene,matched_family,matched_pattern,hpa_supports_extracellular,hpa_protein_class,hpa_secretome_location,excluded,reason
LAMB1,laminin,^LAM[ABCG]\d+$,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LAMB2,laminin,^LAM[ABCG]\d+$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LAMB3,laminin,^LAM[ABCG]\d+$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LAMB4,laminin,^LAM[ABCG]\d+$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LAMC1,laminin,^LAM[ABCG]\d+$,True,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LAMC2,laminin,^LAM[ABCG]\d+$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LAMC3,laminin,^LAM[ABCG]\d+$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LTBP1,elastin_microfibril,^(LTBP\d+|FBLN5)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters",Secreted to extracellular matrix,True,structural ECM family elastin_microfibril + HPA extracellular support
LTBP2,elastin_microfibril,^(LTBP\d+|FBLN5)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family elastin_microfibril + HPA extracellular support
LTBP3,elastin_microfibril,^(LTBP\d+|FBLN5)$,True,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Secreted to blood,True,structural ECM family elastin_microfibril + HPA extracellular support
LTBP4,elastin_microfibril,^(LTBP\d+|FBLN5)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family elastin_microfibril + HPA extracellular support
LUM,proteoglycan_structural,^(AGRN|HSPG2|BGN|DCN|LUM|VCAN|ACAN|OGN|PRELP|FMOD)$,True,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family proteoglycan_structural + HPA extracellular support
MATN1,matrilin_cartilage,^(MATN\d+|COMP|CHAD|EPYC)$,True,Predicted secreted proteins,Secreted to extracellular matrix,True,structural ECM family matrilin_cartilage + HPA extracellular support
MATN2,matrilin_cartilage,^(MATN\d+|COMP|CHAD|EPYC)$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family matrilin_cartilage + HPA extracellular support
MATN3,matrilin_cartilage,^(MATN\d+|COMP|CHAD|EPYC)$,True,"Disease related genes, Human disease related genes, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family matrilin_cartilage + HPA extracellular support
MATN4,matrilin_cartilage,^(MATN\d+|COMP|CHAD|EPYC)$,True,"Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family matrilin_cartilage + HPA extracellular support
MFAP1,elastin,^(ELN|MFAP\d+|EMILIN\d+)$,False,"Essential proteins, Predicted intracellular proteins",,False,family elastin matched but HPA gives no secreted/ECM support; kept
MFAP2,elastin,^(ELN|MFAP\d+|EMILIN\d+)$,True,Predicted secreted proteins,Secreted to extracellular matrix,True,structural ECM family elastin + HPA extracellular support
MFAP3,elastin,^(ELN|MFAP\d+|EMILIN\d+)$,False,"Predicted intracellular proteins, Predicted membrane proteins",,False,family elastin matched but HPA gives no secreted/ECM support; kept
MFAP4,elastin,^(ELN|MFAP\d+|EMILIN\d+)$,True,"Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family elastin + HPA extracellular support
MFAP5,elastin,^(ELN|MFAP\d+|EMILIN\d+)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family elastin + HPA extracellular support
MMRN1,collagen_like_other,^(EMID\d+|MULTIMERIN\d*|MMRN\d+|VWA\d+)$,True,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen_like_other + HPA extracellular support
MMRN2,collagen_like_other,^(EMID\d+|MULTIMERIN\d*|MMRN\d+|VWA\d+)$,True,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen_like_other + HPA extracellular support
NID1,nidogen,^NID\d+$,True,"Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family nidogen + HPA extracellular support
NID2,nidogen,^NID\d+$,True,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family nidogen + HPA extracellular support
OGN,proteoglycan_structural,^(AGRN|HSPG2|BGN|DCN|LUM|VCAN|ACAN|OGN|PRELP|FMOD)$,True,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted in other tissues,True,structural ECM family proteoglycan_structural + HPA extracellular support
PRELP,proteoglycan_structural,^(AGRN|HSPG2|BGN|DCN|LUM|VCAN|ACAN|OGN|PRELP|FMOD)$,True,"Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family proteoglycan_structural + HPA extracellular support
TNC,tenascin,^TN[CRNXW]?$|^TNXB$,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family tenascin + HPA extracellular support
TNN,tenascin,^TN[CRNXW]?$|^TNXB$,True,"Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family tenascin + HPA extracellular support
TNR,tenascin,^TN[CRNXW]?$|^TNXB$,True,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Secreted in brain,True,structural ECM family tenascin + HPA extracellular support
TNXB,tenascin,^TN[CRNXW]?$|^TNXB$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family tenascin + HPA extracellular support
VCAN,proteoglycan_structural,^(AGRN|HSPG2|BGN|DCN|LUM|VCAN|ACAN|OGN|PRELP|FMOD)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to blood,True,structural ECM family proteoglycan_structural + HPA extracellular support
VWA1,collagen_like_other,^(EMID\d+|MULTIMERIN\d*|MMRN\d+|VWA\d+)$,True,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen_like_other + HPA extracellular support
VWA2,collagen_like_other,^(EMID\d+|MULTIMERIN\d*|MMRN\d+|VWA\d+)$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen_like_other + HPA extracellular support
VWA7,collagen_like_other,^(EMID\d+|MULTIMERIN\d*|MMRN\d+|VWA\d+)$,True,Predicted secreted proteins,Secreted - unknown location,True,structural ECM family collagen_like_other + HPA extracellular support
VWA8,collagen_like_other,^(EMID\d+|MULTIMERIN\d*|MMRN\d+|VWA\d+)$,False,Predicted intracellular proteins,,False,family collagen_like_other matched but HPA gives no secreted/ECM support; kept
