gene,gene_symbol,log2FC_discovery,fdr_discovery,log2FC_validation,fdr_validation,direction,combined_z,min_abs_log2FC
ENSG00000157734,SNX22,-0.5105542603910014,0.0001207181768780524,-0.3532535844834859,0.016087630660661052,down,-4.890911219142469,0.3532535844834859
ENSG00000267100,ILF3-AS1,0.2237970957439224,0.013944400831192529,0.21353494813509677,0.00011777746516604958,up,4.889670196506036,0.21353494813509677
ENSG00000163872,YEATS2,0.33252265829633976,0.013066299055420711,0.17967066276703247,0.0001309643887181334,up,4.888209276487231,0.17967066276703247
ENSG00000165996,PTPLA,-0.190447496087672,0.03906508986640449,-0.21746621858815768,2.0593950943856724e-05,down,-4.8831834410469055,0.190447496087672
ENSG00000159176,CSRP1,0.5797912441105314,0.0011882856902445595,0.15934634108961093,0.0025277744020835674,up,4.882805874263667,0.15934634108961093
ENSG00000113369,ARRDC3,0.5868189277361285,0.0034519843315689324,0.29559238817843025,0.0008109194461981484,up,4.877882119110003,0.29559238817843025
ENSG00000184436,THAP7,0.20350415744313685,0.005072790125780709,0.34764055124559223,0.0005180460121314747,up,4.8754316075198565,0.20350415744313685
ENSG00000123728,RAP2C,-0.3232155708145995,0.013619818683243877,-0.26515323178032874,0.0001329815302664538,down,-4.874455130440889,0.26515323178032874
ENSG00000106028,SSBP1,-0.19253732586171315,0.012359306137546289,-0.13596755809907057,0.0001538959963466762,down,-4.874302738946811,0.13596755809907057
ENSG00000107816,LZTS2,0.3521354283960641,0.0014598883979732942,0.23755613256894748,0.00215695836160212,up,4.872032074764969,0.23755613256894748
ENSG00000256338,RPL41P2,0.5851514420719209,0.001044151043900301,0.3625014735814355,0.003033042338001721,up,4.871456500144234,0.3625014735814355
ENSG00000243234,CTD-2583A14.1,0.34441700760583893,0.014160077548624053,0.43208149562749015,0.00012867539318442246,up,4.870186661301236,0.34441700760583893
ENSG00000113712,CSNK1A1,-0.26301775447349507,0.0071038506566148026,-0.31422891482816334,0.00035031869618277247,down,-4.866029769363989,0.26301775447349507
ENSG00000115221,ITGB6,-0.3669155177424742,0.03931721443347162,-0.3433278649628497,2.264505248896657e-05,down,-4.865756131032918,0.3433278649628497
ENSG00000090539,CHRD,0.43870574520592187,0.002575558634374939,0.23793195248960095,0.0012102931886553987,up,4.864797970281724,0.23793195248960095
ENSG00000140463,BBS4,0.4912044759054715,0.0003598626223447257,0.1235482372643743,0.007919427360225762,up,4.863467243392662,0.1235482372643743
ENSG00000188529,SRSF10,-0.3334747625061699,0.0032417690712887005,-0.3337111896843359,0.0009384010173312795,down,-4.862915774761244,0.3334747625061699
ENSG00000163584,RPL22L1,-0.38374741722125855,0.030852203576120882,-0.3552340268922088,3.670094921875573e-05,down,-4.860941112592111,0.3552340268922088
ENSG00000131165,CHMP1A,0.2715878440919601,0.0011005087119343665,0.22162955390877492,0.0030283775906754778,up,4.8601802696597804,0.22162955390877492
ENSG00000105676,ARMC6,0.41828293119755,0.0001393048697564402,0.20584364373839684,0.016488467222166302,up,4.856887355026691,0.20584364373839684
ENSG00000158186,MRAS,-0.2955809377247447,0.027257415435253896,-0.15082612108154375,4.8279335547861066e-05,down,-4.8532198216780555,0.15082612108154375
ENSG00000225217,HSPA7,0.5719000264274187,0.025317506888856724,0.5042496215987036,5.4990469388492884e-05,up,4.8530438851277236,0.5042496215987036
ENSG00000141428,C18orf21,-0.22636433714921167,0.010198593473334466,-0.13858972849664314,0.00023018016337540318,down,-4.851901458146675,0.13858972849664314
ENSG00000256453,DND1,0.26325117715286417,0.00013032094409996253,0.30141267183292136,0.017618979355429033,up,4.8517644072319275,0.26325117715286417
ENSG00000136021,SCYL2,-0.32831003798704583,0.02290604962803385,-0.3301137803398061,6.573110114932897e-05,down,-4.851453579956123,0.32831003798704583
